modelo,accuracy,precision,recall,f1,roc_auc,tn,fp,fn,tp
XGBoost,0.8128759398496241,0.22178010488962813,0.8012942678733752,0.34689550804519104,0.8930764839357224,844547,193440,13624,54949
Logistic Regression,0.8325856709080395,0.23802370101575332,0.7606100827966025,0.3609608573677025,0.8875546607098894,869145,168842,16412,52161
Random Forest,0.946035461249277,0.699690965527633,0.22466612891671117,0.3379878830976623,0.8873744893913443,1031426,6561,53154,15419
