id,nombre,direccion,barrio,comuna,anillo,distancia,cantidad_delitos,area_km2,densidad,base,densidad_relativa
19,Comisaria Vecinal 8-B,ESCALADA AV. 4347,VILLA SOLDATI,8,3,200-300 m,138,0.15682742452706455,879.9481367251848,1817.2841954109035,0.4842105263157373
19,Comisaria Vecinal 8-B,ESCALADA AV. 4347,VILLA SOLDATI,8,4,300-400 m,85,0.21955839433845675,387.1407433822348,1817.2841954109035,0.2130325814530616
19,Comisaria Vecinal 8-B,ESCALADA AV. 4347,VILLA SOLDATI,8,5,400-500 m,79,0.282289364148873,279.85468116445645,1817.2841954109035,0.15399610136442027
19,Comisaria Vecinal 8-B,ESCALADA AV. 4347,VILLA SOLDATI,8,6,500-600 m,315,0.3450203339603231,912.9896675487671,1817.2841954109035,0.5023923444964161
33,Comisaria Vecinal 12-C,JURAMENTO 4367,VILLA URQUIZA,12,1,0-100 m,69,0.03136548490540953,2199.870341813199,2199.870341813199,1.0
33,Comisaria Vecinal 12-C,JURAMENTO 4367,VILLA URQUIZA,12,2,100-200 m,190,0.09409645471650507,2019.2046615617376,2199.870341813199,0.9178743961325687
33,Comisaria Vecinal 12-C,JURAMENTO 4367,VILLA URQUIZA,12,3,200-300 m,483,0.15682742452706455,3079.818478538147,2199.870341813199,1.3999999999998491
33,Comisaria Vecinal 12-C,JURAMENTO 4367,VILLA URQUIZA,12,4,300-400 m,575,0.21955839433845675,2618.8932640562944,2199.870341813199,1.1904761904729912
33,Comisaria Vecinal 12-C,JURAMENTO 4367,VILLA URQUIZA,12,5,400-500 m,834,0.282289364148873,2954.415241660211,2199.870341813199,1.3429951690812347
33,Comisaria Vecinal 12-C,JURAMENTO 4367,VILLA URQUIZA,12,6,500-600 m,957,0.3450203339603231,2773.749561410064,2199.870341813199,1.260869565214401
48,Comisaria Comunal 7,"BONORINO, ESTEBAN, Cnel. AV. 258",FLORES,7,1,0-100 m,283,0.03136548490540953,9022.656619320802,9022.656619320802,1.0
48,Comisaria Comunal 7,"BONORINO, ESTEBAN, Cnel. AV. 258",FLORES,7,2,100-200 m,555,0.09409645471650507,5898.203090351391,9022.656619320802,0.6537102473479025
48,Comisaria Comunal 7,"BONORINO, ESTEBAN, Cnel. AV. 258",FLORES,7,3,200-300 m,1161,0.15682742452706455,7403.04193288362,9022.656619320802,0.8204946996465546
48,Comisaria Comunal 7,"BONORINO, ESTEBAN, Cnel. AV. 258",FLORES,7,4,300-400 m,1484,0.21955839433845675,6759.021919755723,9022.656619320802,0.7491166077718384
48,Comisaria Comunal 7,"BONORINO, ESTEBAN, Cnel. AV. 258",FLORES,7,5,400-500 m,2012,0.282289364148873,7127.438208897296,9022.656619320802,0.7899489595597431
48,Comisaria Comunal 7,"BONORINO, ESTEBAN, Cnel. AV. 258",FLORES,7,6,500-600 m,2467,0.3450203339603231,7150.303205850186,9022.656619320802,0.7924831352374395
49,Comisaria Vecinal 12-B,OLAZABAL AV. 5437,VILLA URQUIZA,12,1,0-100 m,118,0.03136548490540953,3762.097106289239,3762.097106289239,1.0
49,Comisaria Vecinal 12-B,OLAZABAL AV. 5437,VILLA URQUIZA,12,2,100-200 m,267,0.09409645471650507,2837.5139191420208,3762.097106289239,0.7542372881333771
49,Comisaria Vecinal 12-B,OLAZABAL AV. 5437,VILLA URQUIZA,12,3,200-300 m,520,0.15682742452706455,3315.7466021528703,3762.097106289239,0.8813559322032949
49,Comisaria Vecinal 12-B,OLAZABAL AV. 5437,VILLA URQUIZA,12,4,300-400 m,446,0.21955839433845675,2031.3502535114908,3762.097106289239,0.5399515738484278
49,Comisaria Vecinal 12-B,OLAZABAL AV. 5437,VILLA URQUIZA,12,5,400-500 m,1056,0.282289364148873,3740.842320375519,3762.097106289239,0.9943502824852162
49,Comisaria Vecinal 12-B,OLAZABAL AV. 5437,VILLA URQUIZA,12,6,500-600 m,1086,0.3450203339603231,3147.6405681205115,3762.097106289239,0.8366718027715134
4,Comisaria Vecinal 1-B,TACUARI 770,MONSERRAT,1,1,0-100 m,239,0.03136548490540953,7619.840749179052,7619.840749179052,1.0
