id,banco,red,ubicacion,barrio,comuna,anillo,distancia,cantidad_delitos,area_km2,densidad,base,densidad_relativa
11684,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,Av. Caseros 2061,Parque Patricios,Comuna 4,1,0-50 m,43.0,0.007841371226357887,5483.734765095719,5483.734765095719,1.0
11684,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,Av. Caseros 2061,Parque Patricios,Comuna 4,2,50-100 m,221.0,0.023524113679051644,9394.615372769676,5483.734765095719,1.713178294575247
11684,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,Av. Caseros 2061,Parque Patricios,Comuna 4,3,100-150 m,264.0,0.03920685613180504,6733.516176672994,5483.734765095719,1.2279069767436974
11687,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,"Av. Caseros 2736, entre Catamarca y Lavardén",Parque Patricios,Comuna 4,1,0-50 m,71.0,0.007841371226357887,9054.538798181304,9054.538798181304,1.0
11687,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,"Av. Caseros 2736, entre Catamarca y Lavardén",Parque Patricios,Comuna 4,2,50-100 m,80.0,0.023524113679051644,3400.7657457989776,9054.538798181304,0.37558685446044543
11687,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,"Av. Caseros 2736, entre Catamarca y Lavardén",Parque Patricios,Comuna 4,3,100-150 m,31.0,0.03920685613180504,790.6780358972077,9054.538798181304,0.08732394366193709
11686,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,Av. Caseros 2890,Parque Patricios,Comuna 4,1,0-50 m,10.0,0.007841371226357887,1275.2871546734232,1275.2871546734232,1.0
11686,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,Av. Caseros 2890,Parque Patricios,Comuna 4,2,50-100 m,4.0,0.023524113679051644,170.0382872899489,1275.2871546734232,0.13333333333345812
11686,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,Av. Caseros 2890,Parque Patricios,Comuna 4,3,100-150 m,1.0,0.03920685613180504,25.50574309345831,1275.2871546734232,0.019999999999992038
11682,BANCO DE LA NACION ARGENTINA,LINK,Av. Caseros 2902,Parque Patricios,Comuna 4,1,0-50 m,81.0,0.007841371226357887,10329.825952854728,10329.825952854728,1.0
11682,BANCO DE LA NACION ARGENTINA,LINK,Av. Caseros 2902,Parque Patricios,Comuna 4,2,50-100 m,13.0,0.023524113679051644,552.6244336923339,10329.825952854728,0.053497942386881346
11682,BANCO DE LA NACION ARGENTINA,LINK,Av. Caseros 2902,Parque Patricios,Comuna 4,3,100-150 m,6.0,0.03920685613180504,153.03445856074987,10329.825952854728,0.014814814814808917
11689,BANCO DE LA PROVINCIA DE BUENOS AIRES,LINK,Av. Caseros 2935,Parque Patricios,Comuna 4,1,0-50 m,26.0,0.007841371226357887,3315.7466021509,3315.7466021509,1.0
11689,BANCO DE LA PROVINCIA DE BUENOS AIRES,LINK,Av. Caseros 2935,Parque Patricios,Comuna 4,2,50-100 m,16.0,0.023524113679051644,680.1531491597956,3315.7466021509,0.20512820512839713
11689,BANCO DE LA PROVINCIA DE BUENOS AIRES,LINK,Av. Caseros 2935,Parque Patricios,Comuna 4,3,100-150 m,1.0,0.03920685613180504,25.50574309345831,3315.7466021509,0.007692307692304631
11688,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,Av. Caseros 2980 esquina Dean Funes,Parque Patricios,Comuna 4,1,0-50 m,351.0,0.007841371226357887,44762.57912903715,44762.57912903715,1.0
11688,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,Av. Caseros 2980 esquina Dean Funes,Parque Patricios,Comuna 4,2,50-100 m,27.0,0.023524113679051644,1147.758439207155,44762.57912903715,0.025641025641049642
11688,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,Av. Caseros 2980 esquina Dean Funes,Parque Patricios,Comuna 4,3,100-150 m,25.0,0.03920685613180504,637.6435773364578,44762.57912903715,0.014245014245008578
11685,CABAL COOP. LTDA.,LINK,Av. Caseros 3267,Parque Patricios,Comuna 4,1,0-50 m,41.0,0.007841371226357887,5228.677334161035,5228.677334161035,1.0
