modelo,threshold,accuracy,precision,recall,f1,roc_auc,tn,fp,fn,tp
Logistic Regression,0.05,0.15016718478889532,0.06790786568193426,0.9990336446904559,0.12717045189138426,0.8016818678883786,97662,940325,66,68507
Logistic Regression,0.06,0.1566937174667438,0.06839492278376619,0.9989616080131487,0.12802316416532242,0.8016818678883786,104889,933098,71,68502
Logistic Regression,0.07,0.16234185222672065,0.0688165945424127,0.9988014583865944,0.12875998962553525,0.8016818678883786,111150,926837,82,68491
Logistic Regression,0.08,0.16868041497975708,0.06929320609430992,0.9986121720844185,0.12959238937923984,0.8016818678883786,118177,919810,95,68478
Logistic Regression,0.09,0.1756118059572007,0.06980403067040572,0.9980693144034781,0.13048043329080442,0.8016818678883786,125884,912103,132,68441
Logistic Regression,0.1,0.18221244216310006,0.07027739048025097,0.9971935859083114,0.1312990149230687,0.8016818678883786,133248,904739,192,68381
Logistic Regression,0.11,0.18930288461538464,0.07072798466855393,0.9951400718004055,0.13206615995032114,0.8016818678883786,141235,896752,333,68240
Logistic Regression,0.12,0.19744704308849045,0.07130777682405302,0.9936467360133812,0.133062370753784,0.8016818678883786,150349,887638,435,68138
Logistic Regression,0.13,0.20598883024869866,0.07190108279412515,0.9916314286645026,0.1340754161883057,0.8016818678883786,159939,878048,573,68000
Logistic Regression,0.14,0.21699591526894157,0.07267836534177854,0.9889868995220972,0.13540012504313437,0.8016818678883786,172301,865686,755,67818
Logistic Regression,0.15,0.22792347455176404,0.07348226457631055,0.9866156260456573,0.13677118566888635,0.8016818678883786,184555,853432,917,67656
Logistic Regression,0.16,0.24020839358010412,0.07429774614643447,0.9821359621130255,0.13813781937559239,0.8016818678883786,198456,839531,1224,67349
Logistic Regression,0.17,0.25376933921341815,0.07526120310215974,0.9776878760556084,0.13975515287811277,0.8016818678883786,213767,824220,1529,67044
Logistic Regression,0.18,0.2663868204164257,0.07605667053125884,0.9717097661810742,0.14106262697657607,0.8016818678883786,228140,809847,1940,66633
Logistic Regression,0.19,0.27877476142278773,0.07692331271740013,0.9666344131730723,0.142498335995135,0.8016818678883786,242194,795793,2286,66287
Logistic Regression,0.2,0.2937997035858878,0.07798642850963097,0.9599783349789256,0.1442457689280265,0.8016818678883786,259275,778712,2741,65832
Logistic Regression,0.21,0.3069051836321573,0.07911017365334691,0.9565074259392914,0.14612506916482354,0.8016818678883786,274014,763973,2978,65595
Logistic Regression,0.22,0.3201118782533256,0.08028315193788088,0.9529354623976725,0.148079914070295,0.8016818678883786,288873,749114,3223,65350
Logistic Regression,0.23,0.3373996891266628,0.08197949823055493,0.9496254337912049,0.15091797945600244,0.8016818678883786,308230,729757,3450,65123
Logistic Regression,0.24,0.3522185873337189,0.08330356595375443,0.9440971354907063,0.15308667036755605,0.8016818678883786,325005,712982,3827,64746
Logistic Regression,0.25,0.3687346370734529,0.08473057345064121,0.936433517922679,0.15538867952605925,0.8016818678883786,343807,694180,4353,64220
Logistic Regression,0.26,0.38734004482359746,0.08666404990028556,0.9307035919185838,0.158549534297513,0.8016818678883786,364789,673198,4747,63826
Logistic Regression,0.27,0.40509597310584156,0.08841414662894112,0.9227671814747301,0.16135151107123508,0.8016818678883786,384981,653006,5291,63282
Logistic Regression,0.28,0.42243077646038174,0.09026962852181142,0.9156296172503477,0.164321851244544,0.8016818678883786,404652,633335,5780,62793
Logistic Regression,0.29,0.4415043016194332,0.09224434646354482,0.9052526494492706,0.16740853371231254,0.8016818678883786,426469,611518,6491,62082
Logistic Regression,0.3,0.4614200766338924,0.09473828560737244,0.8979512871204303,0.1713728384175187,0.8016818678883786,449008,588979,6992,61581
Logistic Regression,0.31,0.48226124204742626,0.09751819001969242,0.8901645364120052,0.17576216322189336,0.8016818678883786,472603,565384,7525,61048
Logistic Regression,0.32,0.5010979973973395,0.09996954480404127,0.8802118858933795,0.17952990897203516,0.8016818678883786,494129,543858,8207,60366
Logistic Regression,0.33,0.517263410931174,0.10216490270787684,0.8711051517605117,0.1828630771183295,0.8016818678883786,512641,525346,8831,59742
Logistic Regression,0.34,0.5379943247541932,0.10549870094615121,0.8624382169798521,0.1879804945242368,0.8016818678883786,536175,501812,9425,59148
Logistic Regression,0.35,0.5557014531521111,0.10845205168595458,0.8536449192102843,0.1924325655101674,0.8016818678883786,556372,481615,10028,58545
Logistic Regression,0.36,0.5716698597455177,0.11134742413185057,0.846213463593816,0.19678180409364668,0.8016818678883786,574551,463436,10537,58036
Logistic Regression,0.37,0.5865791281087334,0.11418034894886639,0.8386343832984885,0.20097749528050723,0.8016818678883786,591568,446419,11056,57517
Logistic Regression,0.38,0.6028584080393291,0.11750998708412737,0.8304511677933657,0.20587259504489425,0.8016818678883786,610143,427844,11617,56956
Logistic Regression,0.39,0.6179158834586466,0.12065534742397277,0.8212898229406814,0.21038822544226163,0.8016818678883786,627434,410553,12246,56327
Logistic Regression,0.4,0.6339782750144592,0.12440300317137705,0.8123026587197604,0.2157462016843723,0.8016818678883786,645825,392162,12863,55710
Logistic Regression,0.41,0.6522203947368421,0.128850150383058,0.800356418874769,0.22194786238983327,0.8016818678883786,666830,371157,13682,54891
Logistic Regression,0.42,0.6676266989589358,0.13262161631465794,0.7874505550300188,0.22699317735708702,0.8016818678883786,684762,353225,14566,54007
Logistic Regression,0.43,0.6837342755928282,0.1367415626602531,0.7722805778101208,0.23232548988783455,0.8016818678883786,703626,334361,15606,52967
Logistic Regression,0.44,0.6983435150375941,0.14097458127231416,0.7594755469284447,0.2377930312571599,0.8016818678883786,720669,317318,16483,52090
Logistic Regression,0.45,0.7127141772700983,0.14566991159277237,0.7475502283509257,0.24381377313073874,0.8016818678883786,737388,300599,17300,51273
Logistic Regression,0.46,0.7261088418160787,0.15023899279374023,0.7347349305912328,0.24946013226921301,0.8016818678883786,753087,284900,18177,50396
Logistic Regression,0.47,0.7381009615384615,0.15488372424537172,0.724176575478307,0.255181221326895,0.8016818678883786,767082,270905,18902,49671
Logistic Regression,0.48,0.7487447585309427,0.1591828417946517,0.713469061668907,0.26028338944617024,0.8016818678883786,779595,258392,19637,48936
Logistic Regression,0.49,0.7596470141700404,0.16385720030181555,0.7020261578331729,0.26569095384032015,0.8016818678883786,792443,245544,20421,48152
Logistic Regression,0.5,0.7688213924233661,0.1679938906840777,0.6911189272942648,0.27028172312866827,0.8016818678883786,803343,234644,21169,47404
Logistic Regression,0.51,0.7775023496240602,0.17232304363840314,0.6813722125572329,0.2750739536416725,0.8016818678883786,813618,224369,21838,46735
Logistic Regression,0.52,0.7854260049161365,0.17611411265465138,0.6696998636661216,0.2788805330196999,0.8016818678883786,823186,214801,22638,45935
Logistic Regression,0.53,0.7922977515905147,0.17960354601727246,0.6593392481836741,0.28230156844311205,0.8016818678883786,831500,206487,23348,45225
Logistic Regression,0.54,0.7995960454019665,0.18374561166815476,0.6491553182009462,0.2864137846636211,0.8016818678883786,840274,197713,24046,44527
Logistic Regression,0.55,0.8083203802776172,0.18844251160662048,0.6332271364245563,0.2904398914179295,0.8016818678883786,851021,186966,25139,43434
Logistic Regression,0.56,0.8160994433198381,0.19360802954101514,0.6218041502861384,0.29527039821068435,0.8016818678883786,860413,177574,25923,42650
Logistic Regression,0.57,0.8238134398496241,0.198426867320712,0.6065956930797876,0.29902290099004214,0.8016818678883786,869993,167994,26967,41606
Logistic Regression,0.58,0.8318961466165413,0.20478735667332448,0.594323597430306,0.30460708430826217,0.8016818678883786,879777,158210,27807,40766
Logistic Regression,0.59,0.8382835092539039,0.21016088133704858,0.5838069625400372,0.30905393816719295,0.8016818678883786,887567,150420,28529,40044
Logistic Regression,0.6,0.8449690934065934,0.214325854457628,0.5635208380985383,0.31053378178321783,0.8016818678883786,896354,141633,29918,38655
Logistic Regression,0.61,0.8504780581260845,0.21908823554909068,0.5510563770702903,0.3135207369352087,0.8016818678883786,903306,134681,30774,37799
Logistic Regression,0.62,0.8551429655870446,0.22413825360165754,0.5434422198100082,0.31737260677510404,0.8016818678883786,908991,128996,31297,37276
Logistic Regression,0.63,0.8595711032388664,0.22852795343219978,0.5329708491512088,0.31988486020739026,0.8016818678883786,914609,123378,32015,36558
Logistic Regression,0.64,0.8638853744939272,0.23312131614139409,0.522511803974324,0.32239109535744914,0.8016818678883786,920100,117887,32732,35841
Logistic Regression,0.65,0.8681327718334296,0.23722658072127958,0.5091656218198655,0.323651474695317,0.8016818678883786,925714,112273,33646,34927
Logistic Regression,0.66,0.8722590731636783,0.2418680525265397,0.4971950034303898,0.32541935681722584,0.8016818678883786,931101,106886,34467,34106
Logistic Regression,0.67,0.875342502891845,0.2454385390626243,0.4875548829911617,0.32650101577015805,0.8016818678883786,935175,102812,35129,33444
Logistic Regression,0.68,0.8784042437825332,0.24968846386074986,0.47961568629265905,0.32838793870280036,0.8016818678883786,939109,98878,35675,32898
Logistic Regression,0.69,0.882483552631579,0.25548266082910354,0.4682144454036233,0.33054966059651225,0.8016818678883786,944406,93581,36458,32115
Logistic Regression,0.7,0.887081586176981,0.2628848768068298,0.45537504308602017,0.33331665142586014,0.8016818678883786,950374,87613,37338,31235
Logistic Regression,0.71,0.8896950910931174,0.2653996397827475,0.44098965586435634,0.33135547806609666,0.8016818678883786,954252,83735,38324,30249
Logistic Regression,0.72,0.8925110251590513,0.26838443946448487,0.4254266342273872,0.32911811376283406,0.8016818678883786,958434,79553,39390,29183
Logistic Regression,0.73,0.8952926185656448,0.2712413707256653,0.4082130056304948,0.32588422698181396,0.8016818678883786,962693,75294,40571,28002
Logistic Regression,0.74,0.8984899146905725,0.27522141684141993,0.39054933187936364,0.3228776379936237,0.8016818678883786,967438,70549,41778,26795
Logistic Regression,0.75,0.9014630928282245,0.2808477336569092,0.3777054891305983,0.32210686072376893,0.8016818678883786,971611,66376,42661,25912
Logistic Regression,0.76,0.904067560728745,0.2843059501494721,0.3609449590945119,0.3180641510342685,0.8016818678883786,975644,62343,43812,24761
Logistic Regression,0.77,0.9071582200694042,0.29067672291089675,0.34527118673234974,0.31558194192354205,0.8016818678883786,980138,57849,44886,23687
Logistic Regression,0.78,0.9097283473105842,0.29561761123239794,0.32961277367860353,0.3116660815005938,0.8016818678883786,984056,53931,45960,22613
Logistic Regression,0.79,0.9117436017929439,0.2999157809270935,0.3174157546594554,0.3083963336568917,0.8016818678883786,987123,50864,46797,21776
Logistic Regression,0.8,0.9143986769809139,0.3042898968791527,0.2954426943076963,0.2997052720676839,0.8016818678883786,991568,46419,48304,20269
Logistic Regression,0.81,0.9169778412377096,0.3098578002367083,0.2756829552437055,0.29172317096801426,0.8016818678883786,995779,42208,49661,18912
Logistic Regression,0.82,0.919533509253904,0.31613137864416785,0.25569475157712385,0.28268780288410317,0.8016818678883786,999977,38010,51031,17542
Logistic Regression,0.83,0.9211186017929439,0.3218105907804184,0.24563200867711563,0.2785681446767182,0.8016818678883786,1002422,35565,51722,16851
Logistic Regression,0.84,0.9227000795257375,0.32806577624241295,0.23459392406845886,0.2735330703758345,0.8016818678883786,1004929,33058,52479,16094
Logistic Regression,0.85,0.9245598973395026,0.33783098412004664,0.22627080807125477,0.2710095775011217,0.8016818678883786,1007558,30429,53050,15523
Logistic Regression,0.86,0.9260979973973396,0.3477855152454756,0.2181524851984721,0.2680703683961253,0.8016818678883786,1009817,28170,53607,14966
Logistic Regression,0.87,0.9281313259109313,0.36050464547450617,0.20468395819351853,0.2610742798357363,0.8016818678883786,1012990,24997,54530,14043
Logistic Regression,0.88,0.9294706116252168,0.3669392415423026,0.18980129729802553,0.25015896344149346,0.8016818678883786,1015491,22496,55549,13024
Logistic Regression,0.89,0.9312274074609601,0.3796354961679108,0.17132366357620515,0.23600653834829188,0.8016818678883786,1018703,19284,56817,11756
Logistic Regression,0.9,0.9327402038750723,0.39519439077516766,0.1574174434440639,0.22504811963440724,0.8016818678883786,1021332,16655,57772,10801
Logistic Regression,0.91,0.9339692379988433,0.40756154452826115,0.14214605836014976,0.21072798882208993,0.8016818678883786,1023740,14247,58820,9753
Logistic Regression,0.92,0.9358037521688838,0.43898724605843026,0.12383213741331045,0.19308498605961322,0.8016818678883786,1027027,10960,60077,8496
Logistic Regression,0.93,0.9374575260266049,0.48240270782899247,0.1059122224296011,0.17359231910539577,0.8016818678883786,1030086,7901,61306,7267
Logistic Regression,0.94,0.9381967539039907,0.5078426075405655,0.09785191274552216,0.16403427456146263,0.8016818678883786,1031455,6532,61857,6716
Logistic Regression,0.95,0.9383106203007519,0.5148223304473304,0.08245642339214039,0.1421294806773084,0.8016818678883786,1032638,5349,62914,5659
Random Forest,0.05,0.3976621240601504,0.09274962784800841,0.9796811662046105,0.16924869962870362,0.8764187060307034,372868,665119,1404,67169
Random Forest,0.06,0.41355823452862933,0.0946117627224179,0.977712254287512,0.17236622116636607,0.8764187060307034,390591,647396,1537,67036
Random Forest,0.07,0.4255810801041064,0.09605627122165393,0.9753040310863372,0.17475299407255904,0.8764187060307034,404059,633928,1701,66872
Random Forest,0.08,0.4355163750722961,0.09744636643597329,0.9733227756198504,0.1770193721812368,0.8764187060307034,415188,622799,1836,66737
Random Forest,0.09,0.44788804945054944,0.09907211900772958,0.9714141684659143,0.17970142662943953,0.8764187060307034,429009,608978,1967,66606
Random Forest,0.1,0.46680794534412956,0.10184118920458682,0.9682019999872301,0.1842171506845346,0.8764187060307034,450165,587822,2187,66386
Random Forest,0.11,0.48356799450549454,0.10458320335038492,0.9657480950141496,0.18865566458424127,0.8764187060307034,468878,569109,2354,66219
Random Forest,0.12,0.4876346515326778,0.10520224161684073,0.9649581376764994,0.18965800472320887,0.8764187060307034,473432,564555,2408,66165
Random Forest,0.13,0.500680487275882,0.10725001580457538,0.9619418244758864,0.19294817291219862,0.8764187060307034,488074,549913,2614,65959
Random Forest,0.14,0.5088571790052053,0.10864504920308478,0.9592973374966431,0.19514177641529856,0.8764187060307034,497302,540685,2794,65779
Random Forest,0.15,0.5168296341816079,0.11002069473584515,0.9578036008874811,0.19734751703600534,0.8764187060307034,506225,531762,2895,65678
Random Forest,0.16,0.5279686596298439,0.11202848712688289,0.955286669729124,0.20053217514911345,0.8764187060307034,518724,519263,3068,65505
Random Forest,0.17,0.5394763953152111,0.11433964360710873,0.9515988716384524,0.20409744917916822,0.8764187060307034,531715,506272,3325,65248
Random Forest,0.18,0.5609067741469057,0.11919389223899049,0.9435341926733329,0.21141711811647687,0.8764187060307034,555988,481999,3884,64689
Random Forest,0.19,0.5887190934065935,0.12534228221823124,0.9341361646138322,0.22078160824590398,0.8764187060307034,587408,450579,4528,64045
Random Forest,0.2,0.5986923438403702,0.1276001184668194,0.9315301837424291,0.22425633466197964,0.8764187060307034,598622,439365,4706,63867
Random Forest,0.21,0.598916461827646,0.1276533224386565,0.9314712074688035,0.22433783932785856,0.8764187060307034,598874,439113,4710,63863
Random Forest,0.22,0.6028439488143436,0.12856425384653072,0.9304925678859,0.22574101683265763,0.8764187060307034,603287,434700,4777,63796
Random Forest,0.23,0.6149698163678428,0.13140872627249608,0.926093011534529,0.23004953178608742,0.8764187060307034,617004,420983,5076,63497
Random Forest,0.24,0.6226422426257953,0.13330480065720832,0.9226418626819493,0.23285710534474666,0.8764187060307034,625729,412258,5311,63262
Random Forest,0.25,0.6313268146327358,0.13567503270610642,0.9199157865048839,0.23640253447963774,0.8764187060307034,635526,402461,5498,63075
Random Forest,0.26,0.6403150303643724,0.138200981035672,0.9163570799282669,0.24012873257984943,0.8764187060307034,645715,392272,5741,62832
Random Forest,0.27,0.6455510772122615,0.13973517057729884,0.9142580020840991,0.2423777391869529,0.8764187060307034,651652,386335,5884,62689
Random Forest,0.28,0.6542464936379411,0.14225708703050838,0.910202221664148,0.246035008551892,0.8764187060307034,661551,376436,6161,62412
Random Forest,0.29,0.6611001662810874,0.1443575756891994,0.9066966896275958,0.24903348264671746,0.8764187060307034,669375,368612,6401,62172
Random Forest,0.3,0.6713354901677271,0.14773139560550996,0.9015831909144201,0.2538114060185579,0.8764187060307034,681054,356933,6754,61819
Random Forest,0.31,0.6817660135916715,0.15152115376893582,0.8962034195735431,0.2590786674579487,0.8764187060307034,692969,345018,7127,61446
Random Forest,0.32,0.6945985757663389,0.1561857920889617,0.889137701418728,0.26554454774877456,0.8764187060307034,707653,330334,7611,60962
Random Forest,0.33,0.7041543160786581,0.1597301928778197,0.8836167021224188,0.270433344239493,0.8764187060307034,718604,319383,7988,60585
Random Forest,0.34,0.7049333068247542,0.16004143109008984,0.8833679390506257,0.2708747199702176,0.8764187060307034,719483,318504,8005,60568
Random Forest,0.35,0.7115212912087913,0.16251499156119714,0.8790914948255608,0.2742494625778537,0.8764187060307034,727064,310923,8296,60277
Random Forest,0.36,0.7176447729901677,0.1648683245069458,0.8743340092476194,0.2773682684028648,0.8764187060307034,734164,303823,8620,59953
Random Forest,0.37,0.7240158689994216,0.16756952499142966,0.870199381504594,0.2809895203273795,0.8764187060307034,741497,296490,8903,59670
Random Forest,0.38,0.7293621674378253,0.16989683903489497,0.8661902183848452,0.28404562025582597,0.8764187060307034,747687,290300,9177,59396
Random Forest,0.39,0.735655545112782,0.172496646678308,0.8600399699599748,0.2873313034902528,0.8764187060307034,755073,282914,9599,58974
Random Forest,0.4,0.7417031159629844,0.17532697391824958,0.8551980731853043,0.2909429925153558,0.8764187060307034,762099,275888,9933,58640
Random Forest,0.41,0.7505557764603817,0.17966510762845095,0.8469031849478028,0.2963168669883295,0.8764187060307034,772469,265518,10507,58066
Random Forest,0.42,0.7583023062463852,0.1834674390453992,0.8389285361992764,0.3009582651569379,0.8764187060307034,781587,256400,11053,57520
Random Forest,0.43,0.7626454959514171,0.18571060380106,0.8352267668296737,0.3037653006195872,0.8764187060307034,786646,251341,11306,57267
Random Forest,0.44,0.7651614010989011,0.18704717168191037,0.8331148107422829,0.30543628372262166,0.8764187060307034,789574,248413,11450,57123
Random Forest,0.45,0.7704119071717755,0.18985430445204116,0.8278498301148334,0.3088292072239034,0.8764187060307034,795743,242244,11809,56764
Random Forest,0.46,0.7760510049161364,0.19305682827596876,0.8215433323301855,0.3126037467662948,0.8764187060307034,802415,235572,12241,56332
Random Forest,0.47,0.7807086827646038,0.19583602335269307,0.817114480217556,0.31591908287981324,0.8764187060307034,807872,230115,12544,56029
Random Forest,0.48,0.7866821500867553,0.19948087484772792,0.8102898438457362,0.3200835281503561,0.8764187060307034,814953,223034,13015,55558
Random Forest,0.49,0.7929972165991903,0.20374510056853495,0.8029722102158809,0.3248591400365098,0.8764187060307034,822447,215540,13521,55052
Random Forest,0.5,0.7992797498554077,0.20802358433610751,0.7957905066378712,0.3296634595470629,0.8764187060307034,829891,208096,14013,54560
Random Forest,0.51,0.8016329887218046,0.20955499143390371,0.7928312289152188,0.33136903045244487,0.8764187060307034,832697,205290,14215,54358
Random Forest,0.52,0.8065473178137651,0.21290911726142006,0.7862453935957749,0.3350028401323448,0.8764187060307034,838584,199403,14664,53909
Random Forest,0.53,0.8107531448814344,0.21611376659342954,0.7809620577169859,0.3384729369758792,0.8764187060307034,843599,194388,15025,53548
Random Forest,0.54,0.8143336104684789,0.21872310760294433,0.7753394076634486,0.3411053702600187,0.8764187060307034,847948,190039,15412,53161
Random Forest,0.55,0.8197883530942741,0.2232961641331102,0.76804021832791,0.3458285861502677,0.8764187060307034,854486,183501,15914,52659
Random Forest,0.56,0.8255413172353961,0.22766931310899552,0.7575075148148551,0.34994539001894226,0.8764187060307034,861573,176414,16635,51938
Random Forest,0.57,0.8283933993637941,0.23007597914594244,0.7534296844779017,0.352401193846515,0.8764187060307034,865007,172980,16913,51660
Random Forest,0.58,0.8323118493348757,0.23340201842284425,0.7462874709682298,0.3555178145114221,0.8764187060307034,869831,168156,17401,51172
Random Forest,0.59,0.8365610540775015,0.23705041963596746,0.7380955887448096,0.3587985321343273,0.8764187060307034,875094,162893,17962,50611
Random Forest,0.6,0.8423049812030076,0.2424826927055169,0.7261894595980544,0.36339512886086045,0.8764187060307034,882272,155715,18784,49789
Random Forest,0.61,0.8473765543666859,0.24742695711196858,0.7162133785891273,0.36767087270695076,0.8764187060307034,888566,149421,19466,49107
Random Forest,0.62,0.850859420185078,0.2511813573692413,0.7102076967331696,0.37105324203694734,0.8764187060307034,892829,145158,19875,48698
Random Forest,0.63,0.8548158256217466,0.25564572335871344,0.7024694772980216,0.3748247776630119,0.8764187060307034,897738,140249,20406,48167
Random Forest,0.64,0.8594138591671486,0.2609210479166706,0.6919884055716865,0.3788512212950062,0.8764187060307034,903546,134441,21126,47447
Random Forest,0.65,0.8637588562753036,0.26612726329512576,0.6813380560835416,0.38261135206335434,0.8764187060307034,909086,128901,21858,46715
Random Forest,0.66,0.8667121529786004,0.2697785024285522,0.6743369736754374,0.385281310167997,0.8764187060307034,912832,125155,22336,46237
