id,nombre,direccion,barrio,comuna,anillo,distancia,cantidad_delitos,area_km2,densidad,base,dens_rel
43,Comisaria Vecinal 1-C (edificio anexo),SAN JOSE 1224,CONSTITUCION,1,3,600-900 m,16897,1.4114468207453075,11971.403918057376,9178.525049327012,1.3042840602080334
43,Comisaria Vecinal 1-C (edificio anexo),SAN JOSE 1224,CONSTITUCION,1,4,900-1200 m,14487,1.9760255490442793,7331.382940370763,9178.525049327012,0.7987539284330127
11,Comisaria Comunal 2,LAS HERAS GENERAL AV. 1861,RECOLETA,2,1,0-300 m,2005,0.28228936414897915,7102.640958664863,7102.640958664863,1.0
11,Comisaria Comunal 2,LAS HERAS GENERAL AV. 1861,RECOLETA,2,2,300-600 m,4859,0.8468680924476529,5737.6113745841085,7102.640958664863,0.8078137988355603
11,Comisaria Comunal 2,LAS HERAS GENERAL AV. 1861,RECOLETA,2,3,600-900 m,9339,1.4114468207453075,6616.614854159781,7102.640958664863,0.9315710723189302
11,Comisaria Comunal 2,LAS HERAS GENERAL AV. 1861,RECOLETA,2,4,900-1200 m,12582,1.9760255490442793,6367.326579398422,7102.640958664863,0.8964731029562468
42,Comisaria Vecinal 1-C,SAN JUAN AV. 1757,CONSTITUCION,1,1,0-300 m,3082,0.28228936414897915,10917.875029728233,10917.875029728233,1.0
42,Comisaria Vecinal 1-C,SAN JUAN AV. 1757,CONSTITUCION,1,2,300-600 m,6171,0.8468680924476529,7286.849103222584,10917.875029728233,0.6674237508105978
42,Comisaria Vecinal 1-C,SAN JUAN AV. 1757,CONSTITUCION,1,3,600-900 m,10506,1.4114468207453075,7443.426026105864,10917.875029728233,0.6817650876052522
42,Comisaria Vecinal 1-C,SAN JUAN AV. 1757,CONSTITUCION,1,4,900-1200 m,15436,1.9760255490442793,7811.639888697667,10917.875029728233,0.7154908686376595
29,Comisaria Vecinal 2-B,CHARCAS 2844,RECOLETA,2,1,0-300 m,2227,0.28228936414897915,7889.068037379876,7889.068037379876,1.0
