id,banco,red,ubicacion,barrio,comuna,anillo,distancia,radio_in,radio_out,cantidad_delitos,area_m2,area_km2,densidad_delitos_km2,densidad_anillo_1,densidad_relativa_a1
10883,BANCO DE LA NACION ARGENTINA,LINK,Abraham Luppi 1090,Nueva Pompeya,Comuna 4,1,0-300 m,0,300,830,282289.36414897913,0.28228936414897915,2940.2453843849557,2940.2453843849557,1.0
10883,BANCO DE LA NACION ARGENTINA,LINK,Abraham Luppi 1090,Nueva Pompeya,Comuna 4,2,300-600 m,300,600,3747,846868.092447653,0.8468680924476529,4424.537933847841,2940.2453843849557,1.5048192771071627
10883,BANCO DE LA NACION ARGENTINA,LINK,Abraham Luppi 1090,Nueva Pompeya,Comuna 4,3,600-900 m,600,900,3597,1411446.8207453075,1.4114468207453075,2548.448830754121,2940.2453843849557,0.8667469879515545
10883,BANCO DE LA NACION ARGENTINA,LINK,Abraham Luppi 1090,Nueva Pompeya,Comuna 4,4,900-1200 m,900,1200,4592,1976025.5490442794,1.9760255490442793,2323.856592958,2940.2453843849557,0.7903614457825625
11784,BANCO DE LA NACION ARGENTINA,LINK,Aeroparque s/n,S/D,,1,0-300 m,0,300,103,282289.36414897913,0.28228936414897915,364.8738248092174,364.8738248092174,1.0
11784,BANCO DE LA NACION ARGENTINA,LINK,Aeroparque s/n,S/D,,2,300-600 m,300,600,174,846868.092447653,0.8468680924476529,205.46293047491972,364.8738248092174,0.5631067961160291
11784,BANCO DE LA NACION ARGENTINA,LINK,Aeroparque s/n,S/D,,3,600-900 m,600,900,135,1411446.8207453075,1.4114468207453075,95.64653660044657,364.8738248092174,0.26213592233002064
11784,BANCO DE LA NACION ARGENTINA,LINK,Aeroparque s/n,S/D,,4,900-1200 m,900,1200,125,1976025.5490442794,1.9760255490442793,63.25829140238458,364.8738248092174,0.17337031900126193
11697,CABAL COOP. LTDA.,LINK,Alicia M. De Justo 2036,Puerto Madero,Comuna 1,1,0-300 m,0,300,358,282289.36414897913,0.28228936414897915,1268.2022260359208,1268.2022260359208,1.0
11697,CABAL COOP. LTDA.,LINK,Alicia M. De Justo 2036,Puerto Madero,Comuna 1,2,300-600 m,300,600,2529,846868.092447653,0.8468680924476529,2986.2974205234023,1268.2022260359208,2.354748603349966
11697,CABAL COOP. LTDA.,LINK,Alicia M. De Justo 2036,Puerto Madero,Comuna 1,3,600-900 m,600,900,6106,1411446.8207453075,1.4114468207453075,4326.057425795013,1268.2022260359208,3.4111731843565467
11697,CABAL COOP. LTDA.,LINK,Alicia M. De Justo 2036,Puerto Madero,Comuna 1,4,900-1200 m,900,1200,8456,1976025.5490442794,1.9760255490442793,4279.296896788512,1268.2022260359208,3.3743016759752194
11381,BANCO DE LA NACION ARGENTINA,LINK,Alsina 1356,Monserrat,Comuna 1,1,0-300 m,0,300,1911,282289.36414897913,0.28228936414897915,6769.649312722471,6769.649312722471,1.0
11381,BANCO DE LA NACION ARGENTINA,LINK,Alsina 1356,Monserrat,Comuna 1,2,300-600 m,300,600,6105,846868.092447653,0.8468680924476529,7208.914888214856,6769.649312722471,1.0648874934580224
11381,BANCO DE LA NACION ARGENTINA,LINK,Alsina 1356,Monserrat,Comuna 1,3,600-900 m,600,900,11449,1411446.8207453075,1.4114468207453075,8111.534796581576,6769.649312722471,1.198220826791906
11381,BANCO DE LA NACION ARGENTINA,LINK,Alsina 1356,Monserrat,Comuna 1,4,900-1200 m,900,1200,24188,1976025.5490442794,1.9760255490442793,12240.732419527025,6769.649312722471,1.8081782163401772
11396,BANCO DE LA PROVINCIA DE BUENOS AIRES,LINK,Alsina 1502,Monserrat,Comuna 1,1,0-300 m,0,300,1760,282289.36414897913,0.28228936414897915,6234.737200623521,6234.737200623521,1.0
11396,BANCO DE LA PROVINCIA DE BUENOS AIRES,LINK,Alsina 1502,Monserrat,Comuna 1,2,300-600 m,300,600,7036,846868.092447653,0.8468680924476529,8308.259648399628,6234.737200623521,1.3325757575746318
11396,BANCO DE LA PROVINCIA DE BUENOS AIRES,LINK,Alsina 1502,Monserrat,Comuna 1,3,600-900 m,600,900,11705,1411446.8207453075,1.4114468207453075,8292.90896969057,6234.737200623521,1.3301136363632482
11396,BANCO DE LA PROVINCIA DE BUENOS AIRES,LINK,Alsina 1502,Monserrat,Comuna 1,4,900-1200 m,900,1200,19531,1976025.5490442794,1.9760255490442793,9883.981515039786,6234.737200623521,1.5853084415572982
11386,BANCO DE LA NACION ARGENTINA,LINK,Alsina 365,Monserrat,Comuna 1,1,0-300 m,0,300,1930,282289.36414897913,0.28228936414897915,6836.956134774657,6836.956134774657,1.0
11386,BANCO DE LA NACION ARGENTINA,LINK,Alsina 365,Monserrat,Comuna 1,2,300-600 m,300,600,5798,846868.092447653,0.8468680924476529,6846.402706284968,6836.956134774657,1.0013816925725563
11386,BANCO DE LA NACION ARGENTINA,LINK,Alsina 365,Monserrat,Comuna 1,3,600-900 m,600,900,7595,1411446.8207453075,1.4114468207453075,5381.003299854753,6836.956134774657,0.7870466321241227
11386,BANCO DE LA NACION ARGENTINA,LINK,Alsina 365,Monserrat,Comuna 1,4,900-1200 m,900,1200,15064,1976025.5490442794,1.9760255490442793,7623.3832134841705,6836.956134774657,1.115025906734947
11393,CABAL COOP. LTDA.,LINK,Alsina 637,Monserrat,Comuna 1,1,0-300 m,0,300,2589,282289.36414897913,0.28228936414897915,9171.44012068994,9171.44012068994,1.0
11393,CABAL COOP. LTDA.,LINK,Alsina 637,Monserrat,Comuna 1,2,300-600 m,300,600,7464,846868.092447653,0.8468680924476529,8813.65122451035,9171.44012068994,0.9609887987631898
11393,CABAL COOP. LTDA.,LINK,Alsina 637,Monserrat,Comuna 1,3,600-900 m,600,900,10182,1411446.8207453075,1.4114468207453075,7213.874338264793,9171.44012068994,0.7865585168016247
11393,CABAL COOP. LTDA.,LINK,Alsina 637,Monserrat,Comuna 1,4,900-1200 m,900,1200,20330,1976025.5490442794,1.9760255490442793,10288.328513683828,9171.44012068994,1.1217789549183546
11206,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,"Araoz 265, entre Camargo y Luis M. Drago",Villa Crespo,Comuna 15,1,0-300 m,0,300,2507,282289.36414897913,0.28228936414897915,8880.958046569982,8880.958046569982,1.0
11206,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,"Araoz 265, entre Camargo y Luis M. Drago",Villa Crespo,Comuna 15,2,300-600 m,300,600,4607,846868.092447653,0.8468680924476529,5440.044371827328,8880.958046569982,0.612551522403418
11206,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,"Araoz 265, entre Camargo y Luis M. Drago",Villa Crespo,Comuna 15,3,600-900 m,600,900,6527,1411446.8207453075,1.4114468207453075,4624.332921415665,8880.958046569982,0.520702034303797
11206,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,"Araoz 265, entre Camargo y Luis M. Drago",Villa Crespo,Comuna 15,4,900-1200 m,900,1200,10442,1976025.5490442794,1.9760255490442793,5284.344630589599,8880.958046569982,0.5950196592394136
11709,BANCO DE LA NACION ARGENTINA,LINK,"Arenales 819, entre Esmeralda y Suipacha",Retiro,Comuna 1,1,0-300 m,0,300,2040,282289.36414897913,0.28228936414897915,7226.627209813627,7226.627209813627,1.0
11709,BANCO DE LA NACION ARGENTINA,LINK,"Arenales 819, entre Esmeralda y Suipacha",Retiro,Comuna 1,2,300-600 m,300,600,5958,846868.092447653,0.8468680924476529,7035.334136606733,7226.627209813627,0.9735294117638833
11709,BANCO DE LA NACION ARGENTINA,LINK,"Arenales 819, entre Esmeralda y Suipacha",Retiro,Comuna 1,3,600-900 m,600,900,9494,1411446.8207453075,1.4114468207453075,6726.431248034369,7226.627209813627,0.9307843137252187
11709,BANCO DE LA NACION ARGENTINA,LINK,"Arenales 819, entre Esmeralda y Suipacha",Retiro,Comuna 1,4,900-1200 m,900,1200,12031,1976025.5490442794,1.9760255490442793,6088.484030896711,7226.627209813627,0.8425070028005128
11667,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,Av. Acoyte 702,Caballito,Comuna 6,1,0-300 m,0,300,1584,282289.36414897913,0.28228936414897915,5611.263480561169,5611.263480561169,1.0
11667,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,Av. Acoyte 702,Caballito,Comuna 6,2,300-600 m,300,600,4241,846868.092447653,0.8468680924476529,5007.863724966291,5611.263480561169,0.8924663299655761
11667,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,Av. Acoyte 702,Caballito,Comuna 6,3,600-900 m,600,900,5237,1411446.8207453075,1.4114468207453075,3710.37712723362,5611.263480561169,0.6612373737371808
11667,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,Av. Acoyte 702,Caballito,Comuna 6,4,900-1200 m,900,1200,10073,1976025.5490442794,1.9760255490442793,5097.606154369759,5611.263480561169,0.9084595959589408
11665,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,Av. Acoyte 71,Caballito,Comuna 6,1,0-300 m,0,300,2815,282289.36414897913,0.28228936414897915,9972.037056679097,9972.037056679097,1.0
11665,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,Av. Acoyte 71,Caballito,Comuna 6,2,300-600 m,300,600,4074,846868.092447653,0.8468680924476529,4810.666544567948,9972.037056679097,0.48241563055021414
11665,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,Av. Acoyte 71,Caballito,Comuna 6,3,600-900 m,600,900,7228,1411446.8207453075,1.4114468207453075,5120.98641887428,9972.037056679097,0.5135346358790688
11665,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,Av. Acoyte 71,Caballito,Comuna 6,4,900-1200 m,900,1200,9049,1976025.5490442794,1.9760255490442793,4579.394231201424,9972.037056679097,0.4592235473226832
11683,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,Av. Almafuerte 406,Parque Patricios,Comuna 4,1,0-300 m,0,300,1010,282289.36414897913,0.28228936414897915,3577.8889617214522,3577.8889617214522,1.0
11683,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,Av. Almafuerte 406,Parque Patricios,Comuna 4,2,300-600 m,300,600,2530,846868.092447653,0.8468680924476529,2987.478241962913,3577.8889617214522,0.8349834983491295
11683,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,Av. Almafuerte 406,Parque Patricios,Comuna 4,3,600-900 m,600,900,4500,1411446.8207453075,1.4114468207453075,3188.2178866815525,3577.8889617214522,0.8910891089106312
11683,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,Av. Almafuerte 406,Parque Patricios,Comuna 4,4,900-1200 m,900,1200,6986,1976025.5490442794,1.9760255490442793,3535.3793898964695,3577.8889617214522,0.9881188118804756
11678,BANCO DE LA NACION ARGENTINA,LINK,Av. Almirante Brown 1101,Boca,Comuna 4,1,0-300 m,0,300,2056,282289.36414897913,0.28228936414897915,7283.306638910204,7283.306638910204,1.0
11678,BANCO DE LA NACION ARGENTINA,LINK,Av. Almirante Brown 1101,Boca,Comuna 4,2,300-600 m,300,600,4312,846868.092447653,0.8468680924476529,5091.702047171574,7283.306638910204,0.699092088196556
11678,BANCO DE LA NACION ARGENTINA,LINK,Av. Almirante Brown 1101,Boca,Comuna 4,3,600-900 m,600,900,2989,1411446.8207453075,1.4114468207453075,2117.685169620258,7283.306638910204,0.29075875486372843
11678,BANCO DE LA NACION ARGENTINA,LINK,Av. Almirante Brown 1101,Boca,Comuna 4,4,900-1200 m,900,1200,3976,1976025.5490442794,1.9760255490442793,2012.1197329270487,7283.306638910204,0.27626459143948945
11679,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,Av. Almirante Brown 240,Boca,Comuna 4,1,0-300 m,0,300,1726,282289.36414897913,0.28228936414897915,6114.293413793294,6114.293413793294,1.0
11679,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,Av. Almirante Brown 240,Boca,Comuna 4,2,300-600 m,300,600,3269,846868.092447653,0.8468680924476529,3860.1052857615664,6114.293413793294,0.6313248358434218
11679,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,Av. Almirante Brown 240,Boca,Comuna 4,3,600-900 m,600,900,5181,1411446.8207453075,1.4114468207453075,3670.701526866027,6114.293413793294,0.6003476245652941
11679,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,Av. Almirante Brown 240,Boca,Comuna 4,4,900-1200 m,900,1200,7667,1976025.5490442794,1.9760255490442793,3880.0105614566605,6114.293413793294,0.6345803674883687
11775,BANCO DE LA PROVINCIA DE BUENOS AIRES,LINK,Av. Alvarez Jonte 5269,Monte Castro,Comuna 10,1,0-300 m,0,300,772,282289.36414897913,0.28228936414897915,2734.782453909863,2734.782453909863,1.0
11775,BANCO DE LA PROVINCIA DE BUENOS AIRES,LINK,Av. Alvarez Jonte 5269,Monte Castro,Comuna 10,2,300-600 m,300,600,1891,846868.092447653,0.8468680924476529,2232.9333421153633,2734.782453909863,0.8164939550943016
11775,BANCO DE LA PROVINCIA DE BUENOS AIRES,LINK,Av. Alvarez Jonte 5269,Monte Castro,Comuna 10,3,600-900 m,600,900,2837,1411446.8207453075,1.4114468207453075,2009.994254336792,2734.782453909863,0.7349740932640343
11775,BANCO DE LA PROVINCIA DE BUENOS AIRES,LINK,Av. Alvarez Jonte 5269,Monte Castro,Comuna 10,4,900-1200 m,900,1200,3749,1976025.5490442794,1.9760255490442793,1897.2426757403182,2734.782453909863,0.6937453737966868
11226,BANCO DE LA PROVINCIA DE BUENOS AIRES,LINK,Av. Alvarez Jonte 5269/79,Monte Castro,Comuna 10,1,0-300 m,0,300,775,282289.36414897913,0.28228936414897915,2745.409846865471,2745.409846865471,1.0
11226,BANCO DE LA PROVINCIA DE BUENOS AIRES,LINK,Av. Alvarez Jonte 5269/79,Monte Castro,Comuna 10,2,300-600 m,300,600,1899,846868.092447653,0.8468680924476529,2242.3799136314515,2745.409846865471,0.816774193547697
11226,BANCO DE LA PROVINCIA DE BUENOS AIRES,LINK,Av. Alvarez Jonte 5269/79,Monte Castro,Comuna 10,3,600-900 m,600,900,2811,1411446.8207453075,1.4114468207453075,1991.5734398804098,2745.409846865471,0.7254193548384981
11226,BANCO DE LA PROVINCIA DE BUENOS AIRES,LINK,Av. Alvarez Jonte 5269/79,Monte Castro,Comuna 10,4,900-1200 m,900,1200,3754,1976025.5490442794,1.9760255490442793,1899.7730073964137,2745.409846865471,0.6919815668197774
11776,BANCO DE LA NACION ARGENTINA,LINK,Av. Alvarez Jonte 5298,Monte Castro,Comuna 10,1,0-300 m,0,300,760,282289.36414897913,0.28228936414897915,2692.2728820874295,2692.2728820874295,1.0
11776,BANCO DE LA NACION ARGENTINA,LINK,Av. Alvarez Jonte 5298,Monte Castro,Comuna 10,2,300-600 m,300,600,1868,846868.092447653,0.8468680924476529,2205.7744490066093,2692.2728820874295,0.8192982456133429
11776,BANCO DE LA NACION ARGENTINA,LINK,Av. Alvarez Jonte 5298,Monte Castro,Comuna 10,3,600-900 m,600,900,2898,1411446.8207453075,1.4114468207453075,2053.2123190229195,2692.2728820874295,0.7626315789471458
11776,BANCO DE LA NACION ARGENTINA,LINK,Av. Alvarez Jonte 5298,Monte Castro,Comuna 10,4,900-1200 m,900,1200,3749,1976025.5490442794,1.9760255490442793,1897.2426757403182,2692.2728820874295,0.7046992481197925
11534,BANCO DE LA NACION ARGENTINA,LINK,Av. Alvarez Jonte 6383,Liniers,Comuna 9,1,0-300 m,0,300,1062,282289.36414897913,0.28228936414897915,3762.097106285329,3762.097106285329,1.0
11534,BANCO DE LA NACION ARGENTINA,LINK,Av. Alvarez Jonte 6383,Liniers,Comuna 9,2,300-600 m,300,600,1352,846868.092447653,0.8468680924476529,1596.4705862189164,3762.097106285329,0.4243565599494218
11534,BANCO DE LA NACION ARGENTINA,LINK,Av. Alvarez Jonte 6383,Liniers,Comuna 9,3,600-900 m,600,900,3804,1411446.8207453075,1.4114468207453075,2695.1068535414724,3762.097106285329,0.7163841807907515
11534,BANCO DE LA NACION ARGENTINA,LINK,Av. Alvarez Jonte 6383,Liniers,Comuna 9,4,900-1200 m,900,1200,6690,1976025.5490442794,1.9760255490442793,3385.5837558556227,3762.097106285329,0.8999192897491491
11228,BANCO DE LA NACION ARGENTINA,LINK,Av. Alvarez Thomas 1994,Villa Ortuzar,Comuna 15,1,0-300 m,0,300,634,282289.36414897913,0.28228936414897915,2245.922377951882,2245.922377951882,1.0
11228,BANCO DE LA NACION ARGENTINA,LINK,Av. Alvarez Thomas 1994,Villa Ortuzar,Comuna 15,2,300-600 m,300,600,1604,846868.092447653,0.8468680924476529,1894.0375889756967,2245.922377951882,0.8433228180855126
11228,BANCO DE LA NACION ARGENTINA,LINK,Av. Alvarez Thomas 1994,Villa Ortuzar,Comuna 15,3,600-900 m,600,900,3179,1411446.8207453075,1.4114468207453075,2252.2988137245898,2245.922377951882,1.0028391167189503
11228,BANCO DE LA NACION ARGENTINA,LINK,Av. Alvarez Thomas 1994,Villa Ortuzar,Comuna 15,4,900-1200 m,900,1200,3495,1976025.5490442794,1.9760255490442793,1768.7018276106728,2245.922377951882,0.7875168995037132
10988,BANCO DE LA NACION ARGENTINA,LINK,Av. Alvear 1936,Recoleta,Comuna 2,1,0-300 m,0,300,1247,282289.36414897913,0.28228936414897915,4417.453005214506,4417.453005214506,1.0
10988,BANCO DE LA NACION ARGENTINA,LINK,Av. Alvear 1936,Recoleta,Comuna 2,2,300-600 m,300,600,3829,846868.092447653,0.8468680924476529,4521.365291887745,4417.453005214506,1.0235231221589856
10988,BANCO DE LA NACION ARGENTINA,LINK,Av. Alvear 1936,Recoleta,Comuna 2,3,600-900 m,600,900,4788,1411446.8207453075,1.4114468207453075,3392.2638314291717,4417.453005214506,0.7679230152363437
10988,BANCO DE LA NACION ARGENTINA,LINK,Av. Alvear 1936,Recoleta,Comuna 2,4,900-1200 m,900,1200,7816,1976025.5490442794,1.9760255490442793,3955.414444808303,4417.453005214506,0.8954061175385911
11676,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,Av. Amancio Alcorta 1502,Barracas,Comuna 4,1,0-300 m,0,300,501,282289.36414897913,0.28228936414897915,1774.7746235865818,1774.7746235865818,1.0
11676,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,Av. Amancio Alcorta 1502,Barracas,Comuna 4,2,300-600 m,300,600,2704,846868.092447653,0.8468680924476529,3192.941172437833,1774.7746235865818,1.7990685296059319
11676,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,Av. Amancio Alcorta 1502,Barracas,Comuna 4,3,600-900 m,600,900,6413,1411446.8207453075,1.4114468207453075,4543.564734953065,1774.7746235865818,2.5600798403186147
11676,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,Av. Amancio Alcorta 1502,Barracas,Comuna 4,4,900-1200 m,900,1200,14102,1976025.5490442794,1.9760255490442793,7136.547402851419,1774.7746235865818,4.0211006558282945
10886,BANCO DE LA NACION ARGENTINA,LINK,Av. Amancio Alcorta 3000,Nueva Pompeya,Comuna 4,1,0-300 m,0,300,892,282289.36414897913,0.28228936414897915,3159.8781721341934,3159.8781721341934,1.0
10886,BANCO DE LA NACION ARGENTINA,LINK,Av. Amancio Alcorta 3000,Nueva Pompeya,Comuna 4,2,300-600 m,300,600,2952,846868.092447653,0.8468680924476529,3485.784889436569,3159.8781721341934,1.1031390134519827
10886,BANCO DE LA NACION ARGENTINA,LINK,Av. Amancio Alcorta 3000,Nueva Pompeya,Comuna 4,3,600-900 m,600,900,4345,1411446.8207453075,1.4114468207453075,3078.4014928069655,3159.8781721341934,0.9742152466364872
10886,BANCO DE LA NACION ARGENTINA,LINK,Av. Amancio Alcorta 3000,Nueva Pompeya,Comuna 4,4,900-1200 m,900,1200,8013,1976025.5490442794,1.9760255490442793,4055.109512058461,3159.8781721341934,1.2833119794993948
11713,BANCO DE LA NACION ARGENTINA,LINK,Av. Antártida Argentina s/n esquina Av. Gendarmerí,S/D,,1,0-300 m,0,300,1908,282289.36414897913,0.28228936414897915,6759.021919766863,6759.021919766863,1.0
11713,BANCO DE LA NACION ARGENTINA,LINK,Av. Antártida Argentina s/n esquina Av. Gendarmerí,S/D,,2,300-600 m,300,600,2545,846868.092447653,0.8468680924476529,3005.1905635555786,6759.021919766863,0.4446191474489605
11713,BANCO DE LA NACION ARGENTINA,LINK,Av. Antártida Argentina s/n esquina Av. Gendarmerí,S/D,,3,600-900 m,600,900,3473,1411446.8207453075,1.4114468207453075,2460.5957156544514,6759.021919766863,0.36404612159318517
11713,BANCO DE LA NACION ARGENTINA,LINK,Av. Antártida Argentina s/n esquina Av. Gendarmerí,S/D,,4,900-1200 m,900,1200,4474,1976025.5490442794,1.9760255490442793,2264.1407658741487,6759.021919766863,0.33498053309349896
11431,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,"Av. Asamblea 642, entre Bell Ville y Riglos",Parque Chacabuco,Comuna 7,1,0-300 m,0,300,790,282289.36414897913,0.28228936414897915,2798.5468116435122,2798.5468116435122,1.0
11431,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,"Av. Asamblea 642, entre Bell Ville y Riglos",Parque Chacabuco,Comuna 7,2,300-600 m,300,600,2474,846868.092447653,0.8468680924476529,2921.352241350295,2798.5468116435122,1.0438818565392023
11431,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,"Av. Asamblea 642, entre Bell Ville y Riglos",Parque Chacabuco,Comuna 7,3,600-900 m,600,900,4598,1411446.8207453075,1.4114468207453075,3257.6501873248394,2798.5468116435122,1.164050632911053
