id,lat,long,fuente
4,-34.60998424490044,-58.37421350241789,alojamientos_turisticos
5,-34.60620108225303,-58.376795794296825,alojamientos_turisticos
7,-34.62741804583529,-58.384283620240005,alojamientos_turisticos
10,-34.62699566250406,-58.38545935964835,alojamientos_turisticos
11,-34.60888014122817,-58.379732802017415,alojamientos_turisticos
14,-34.59127516741013,-58.38742174333942,alojamientos_turisticos
17,-34.59605669981444,-58.37999870211637,alojamientos_turisticos
18,-34.610529547724155,-58.36196431938664,alojamientos_turisticos
20,-34.599705005769,-58.37260534218746,alojamientos_turisticos
21,-34.61642326193004,-58.37590646801607,alojamientos_turisticos
22,-34.60594622527869,-58.39070847837388,alojamientos_turisticos
29,-34.59292273811405,-58.37958284143952,alojamientos_turisticos
30,-34.6019198263607,-58.37950385959879,alojamientos_turisticos
32,-34.61448656850412,-58.37758618834291,alojamientos_turisticos
36,-34.608969972570335,-58.3794350478636,alojamientos_turisticos
38,-34.60446464373401,-58.391933900756776,alojamientos_turisticos
39,-34.60927709787273,-58.38551966795119,alojamientos_turisticos
42,-34.608619811431474,-58.38333429726897,alojamientos_turisticos
43,-34.6191826212403,-58.382915298575874,alojamientos_turisticos
48,-34.59804689647918,-58.38417010866527,alojamientos_turisticos
49,-34.59657101073534,-58.37994617853053,alojamientos_turisticos
52,-34.617825046649635,-58.37447797126477,alojamientos_turisticos
53,-34.62093421298706,-58.37761009958123,alojamientos_turisticos
54,-34.605199884054976,-58.382198378617424,alojamientos_turisticos
55,-34.60374702703923,-58.38330283825713,alojamientos_turisticos
61,-34.592939469310444,-58.37851391964254,alojamientos_turisticos
62,-34.59996533252279,-58.37607148751639,alojamientos_turisticos
63,-34.5962984637329,-58.37985310126982,alojamientos_turisticos
66,-34.61214018329661,-58.37341366078743,alojamientos_turisticos
68,-34.60781459471836,-58.38848702001005,alojamientos_turisticos
69,-34.61132422411395,-58.39025186569626,alojamientos_turisticos
70,-34.62819385642605,-58.38472688976728,alojamientos_turisticos
71,-34.596042999535264,-58.37427104924475,alojamientos_turisticos
72,-34.6079577278048,-58.37930952008193,alojamientos_turisticos
73,-34.61199923334886,-58.38900162211567,alojamientos_turisticos
74,-34.61202290088415,-58.388868952933926,alojamientos_turisticos
75,-34.60093785607161,-58.37448306341594,alojamientos_turisticos
80,-34.62771777120104,-58.38224954192178,alojamientos_turisticos
81,-34.607217913806274,-58.38071577837544,alojamientos_turisticos
84,-34.609336198666334,-58.38477366222018,alojamientos_turisticos
86,-34.596011813506045,-58.38433280054839,alojamientos_turisticos
87,-34.59663992858855,-58.38427112605736,alojamientos_turisticos
88,-34.60119796052426,-58.378991112675095,alojamientos_turisticos
90,-34.597186294375234,-58.37434205572689,alojamientos_turisticos
94,-34.59550970286226,-58.379894137181225,alojamientos_turisticos
95,-34.616238370359675,-58.37565400769469,alojamientos_turisticos
96,-34.608203663580746,-58.37862031959273,alojamientos_turisticos
97,-34.60773750539872,-58.38742097662456,alojamientos_turisticos
100,-34.602392346579435,-58.37737161826978,alojamientos_turisticos
101,-34.597155743425795,-58.37993983351239,alojamientos_turisticos
103,-34.59436811266863,-58.38151491771019,alojamientos_turisticos
104,-34.58997957400042,-58.37974295643191,alojamientos_turisticos
107,-34.60205169053293,-58.378073399346725,alojamientos_turisticos
109,-34.59888374546711,-58.37424066364003,alojamientos_turisticos
111,-34.62817443954299,-58.384624264540506,alojamientos_turisticos
112,-34.61435285883961,-58.39031381671051,alojamientos_turisticos
114,-34.61066494136162,-58.381942463947766,alojamientos_turisticos
115,-34.60757375560416,-58.38479491899632,alojamientos_turisticos
117,-34.60510131353048,-58.38929105975527,alojamientos_turisticos
118,-34.60241173916993,-58.38098200981172,alojamientos_turisticos
119,-34.600317231790434,-58.37256553613704,alojamientos_turisticos
120,-34.613506391593006,-58.36181476344306,alojamientos_turisticos
122,-34.59150583031322,-58.3781786486944,alojamientos_turisticos
125,-34.59015508658921,-58.38256542428228,alojamientos_turisticos
126,-34.6011692109957,-58.3765210732128,alojamientos_turisticos
128,-34.60808904557884,-58.379302465573176,alojamientos_turisticos
129,-34.627564444292574,-58.378391389741935,alojamientos_turisticos
130,-34.607952107820026,-58.38067654345311,alojamientos_turisticos
132,-34.59627732564184,-58.37795100804429,alojamientos_turisticos
133,-34.608467641716835,-58.38280266096139,alojamientos_turisticos
134,-34.59676659206172,-58.376877993020926,alojamientos_turisticos
135,-34.60923833109598,-58.37911251372499,alojamientos_turisticos
136,-34.605675895682204,-58.383539617256325,alojamientos_turisticos
139,-34.60938848303285,-58.38553579112819,alojamientos_turisticos
140,-34.61601013889568,-58.3713976292833,alojamientos_turisticos
141,-34.606406816089724,-58.38213925978213,alojamientos_turisticos
142,-34.60223708819122,-58.37470648552268,alojamientos_turisticos
145,-34.6054207531551,-58.363718307911576,alojamientos_turisticos
147,-34.59876718091612,-58.37119194416087,alojamientos_turisticos
149,-34.60091572064846,-58.3741497387309,alojamientos_turisticos
150,-34.594168597913544,-58.38449640964057,alojamientos_turisticos
151,-34.60607306677306,-58.38939721050388,alojamientos_turisticos
152,-34.612735651889665,-58.384784736560846,alojamientos_turisticos
153,-34.62041702790059,-58.37217911311235,alojamientos_turisticos
155,-34.60856988200843,-58.37529060748157,alojamientos_turisticos
157,-34.611259727696144,-58.39030093825664,alojamientos_turisticos
158,-34.611112614707174,-58.37916560086678,alojamientos_turisticos
160,-34.61984383207006,-58.38396711942037,alojamientos_turisticos
161,-34.604145743013866,-58.38225552269358,alojamientos_turisticos
163,-34.605248226239965,-58.38693791510671,alojamientos_turisticos
164,-34.59416482181725,-58.38436359124264,alojamientos_turisticos
166,-34.61747346326601,-58.36233983721134,alojamientos_turisticos
172,-34.608619063481825,-58.38473039897362,alojamientos_turisticos
174,-34.62683250880662,-58.3871316821008,alojamientos_turisticos
176,-34.6053035641001,-58.39215959500355,alojamientos_turisticos
177,-34.596365422850965,-58.37757161062993,alojamientos_turisticos
178,-34.60663843752528,-58.3886040975024,alojamientos_turisticos
179,-34.61021317078794,-58.37380253727463,alojamientos_turisticos
181,-34.615926198712536,-58.38166129011559,alojamientos_turisticos
182,-34.59695572383406,-58.37548183693482,alojamientos_turisticos
183,-34.60037203723932,-58.37813986124876,alojamientos_turisticos
184,-34.605046496219764,-58.37924336529547,alojamientos_turisticos
185,-34.600820206656245,-58.37266686153925,alojamientos_turisticos
186,-34.61090011037493,-58.382050967520165,alojamientos_turisticos
187,-34.6117145050292,-58.37771702839591,alojamientos_turisticos
188,-34.60085261896471,-58.37331964719456,alojamientos_turisticos
191,-34.604000005552365,-58.38573668725173,alojamientos_turisticos
192,-34.610121001963094,-58.38889225574772,alojamientos_turisticos
193,-34.60627433065453,-58.389258302331605,alojamientos_turisticos
196,-34.609779746427705,-58.3819823157116,alojamientos_turisticos
198,-34.61160693480829,-58.3778086041856,alojamientos_turisticos
199,-34.61472110387811,-58.38033538246348,alojamientos_turisticos
202,-34.62780666266061,-58.384410342176174,alojamientos_turisticos
205,-34.6122554379498,-58.3720094440941,alojamientos_turisticos
207,-34.59707650093856,-58.38658952710742,alojamientos_turisticos
210,-34.603281401036824,-58.37557695463343,alojamientos_turisticos
215,-34.60903688594272,-58.380409804785465,alojamientos_turisticos
217,-34.60744762974926,-58.38283871157931,alojamientos_turisticos
219,-34.62911859867126,-58.38268683401696,alojamientos_turisticos
221,-34.60150437007726,-58.372626948049714,alojamientos_turisticos
224,-34.62048565598121,-58.375696139574494,alojamientos_turisticos
225,-34.60809721068144,-58.38496495964045,alojamientos_turisticos
229,-34.59884851460184,-58.37665620864367,alojamientos_turisticos
230,-34.60756390887768,-58.38463297767181,alojamientos_turisticos
233,-34.596481149982054,-58.379042908454124,alojamientos_turisticos
236,-34.618487834122014,-58.37770741635312,alojamientos_turisticos
237,-34.62533125379087,-58.37147668132021,alojamientos_turisticos
243,-34.60269025488251,-58.37817539120459,alojamientos_turisticos
245,-34.61941313289567,-58.37108339775908,alojamientos_turisticos
246,-34.60919345724145,-58.38430029983215,alojamientos_turisticos
248,-34.600387395566614,-58.38818122824988,alojamientos_turisticos
251,-34.59680172155505,-58.37297108395352,alojamientos_turisticos
253,-34.610493147424165,-58.37775380108892,alojamientos_turisticos
257,-34.60441528650248,-58.38516732974413,alojamientos_turisticos
258,-34.60498335753184,-58.3892965301222,alojamientos_turisticos
259,-34.60917869391311,-58.38408503358012,alojamientos_turisticos
263,-34.625071956263966,-58.38298533063855,alojamientos_turisticos
265,-34.60880326530592,-58.38574830973592,alojamientos_turisticos
267,-34.606682550814334,-58.38212652604045,alojamientos_turisticos
268,-34.60976234052745,-58.3734324150412,alojamientos_turisticos
269,-34.59514029657053,-58.378349799449765,alojamientos_turisticos
270,-34.60308298189587,-58.37068213575715,alojamientos_turisticos
271,-34.598468027807726,-58.37290394041745,alojamientos_turisticos
272,-34.59807485952298,-58.37416118039031,alojamientos_turisticos
273,-34.60469904707603,-58.3793327655981,alojamientos_turisticos
274,-34.6020039078384,-58.382385285239415,alojamientos_turisticos
276,-34.60528961371819,-58.390869987804095,alojamientos_turisticos
277,-34.608860460784335,-58.379446230392354,alojamientos_turisticos
278,-34.60399219041968,-58.385603402200886,alojamientos_turisticos
279,-34.602272328807864,-58.37719080337632,alojamientos_turisticos
281,-34.62096932145454,-58.38376029184762,alojamientos_turisticos
297,-34.59536315680769,-58.3800311417975,alojamientos_turisticos
298,-34.593621978144384,-58.37366584405123,alojamientos_turisticos
299,-34.60841109352001,-58.39056452341797,alojamientos_turisticos
300,-34.61679287514746,-58.37588504207623,alojamientos_turisticos
301,-34.59812527943678,-58.38126083640267,alojamientos_turisticos
303,-34.60643994868572,-58.38742375647381,alojamientos_turisticos
306,-34.60186775211333,-58.3692676199378,alojamientos_turisticos
308,-34.59853223168681,-58.38263089861098,alojamientos_turisticos
309,-34.59735154821203,-58.37400398594083,alojamientos_turisticos
311,-34.62057286385225,-58.37569020428104,alojamientos_turisticos
315,-34.59067756029026,-58.385070338879125,alojamientos_turisticos
316,-34.598852515679006,-58.37152062679325,alojamientos_turisticos
317,-34.59696961281424,-58.37995011393771,alojamientos_turisticos
318,-34.602333943803785,-58.37833313199192,alojamientos_turisticos
319,-34.60916285711267,-58.382245928271175,alojamientos_turisticos
323,-34.621092228190385,-58.368449409764736,alojamientos_turisticos
325,-34.626933369568825,-58.38390946824685,alojamientos_turisticos
327,-34.60190088238046,-58.37821448209323,alojamientos_turisticos
328,-34.60147973094332,-58.37681094601009,alojamientos_turisticos
329,-34.609338639942074,-58.38641692044225,alojamientos_turisticos
331,-34.61555669711599,-58.386077011846105,alojamientos_turisticos
337,-34.61189799616583,-58.382335541035175,alojamientos_turisticos
341,-34.60702671527257,-58.39203644800922,alojamientos_turisticos
342,-34.61690150871696,-58.380240316769815,alojamientos_turisticos
343,-34.589375126462336,-58.38336228170859,alojamientos_turisticos
344,-34.61062833100616,-58.390332788602144,alojamientos_turisticos
345,-34.59318813620902,-58.373456362396325,alojamientos_turisticos
347,-34.58939292612383,-58.38403798146332,alojamientos_turisticos
349,-34.59469341988043,-58.38446990436516,alojamientos_turisticos
351,-34.60839259910357,-58.3799536335768,alojamientos_turisticos
352,-34.60949486053682,-58.37993390978212,alojamientos_turisticos
353,-34.60943126401745,-58.3861594186452,alojamientos_turisticos
354,-34.5992305999629,-58.37980022867815,alojamientos_turisticos
355,-34.61594961822112,-58.37606375779782,alojamientos_turisticos
358,-34.62071885337843,-58.37468712628534,alojamientos_turisticos
361,-34.597733421430526,-58.37234094572211,alojamientos_turisticos
363,-34.600460263225735,-58.37671979857932,alojamientos_turisticos
364,-34.60088771200264,-58.37234899267381,alojamientos_turisticos
365,-34.608739188834754,-58.37613396928068,alojamientos_turisticos
367,-34.602965056291595,-58.383215934383976,alojamientos_turisticos
368,-34.593559860806344,-58.38594332482489,alojamientos_turisticos
369,-34.623604181257754,-58.38527832574031,alojamientos_turisticos
370,-34.60804927172813,-58.38932311425469,alojamientos_turisticos
371,-34.60050331181071,-58.38633820873762,alojamientos_turisticos
375,-34.60022685122774,-58.380553835605525,alojamientos_turisticos
376,-34.61651022974591,-58.375901426636,alojamientos_turisticos
377,-34.60546981636228,-58.37942150119412,alojamientos_turisticos
378,-34.5974346180018,-58.37359412122177,alojamientos_turisticos
379,-34.62424191366461,-58.37032281945096,alojamientos_turisticos
381,-34.62007265684191,-58.38738240465864,alojamientos_turisticos
24,-34.59637478992723,-58.40706325583631,alojamientos_turisticos
27,-34.590364421174776,-58.40691390797785,alojamientos_turisticos
261,-34.59575334388244,-58.41142001756789,alojamientos_turisticos
284,-34.59566617398573,-58.40947359877623,alojamientos_turisticos
310,-34.5921097349713,-58.405615120496826,alojamientos_turisticos
19,-34.58767865435859,-58.3890496897681,alojamientos_turisticos
23,-34.59693013198696,-58.39920185249126,alojamientos_turisticos
26,-34.5914160866878,-58.39637753725828,alojamientos_turisticos
41,-34.59656137606328,-58.39617877211156,alojamientos_turisticos
50,-34.592215382397185,-58.395411268117165,alojamientos_turisticos
58,-34.596406578240504,-58.39335129554893,alojamientos_turisticos
65,-34.58898051701611,-58.38872650576148,alojamientos_turisticos
76,-34.589650166141844,-58.38770116111373,alojamientos_turisticos
82,-34.59959111266173,-58.39334887678897,alojamientos_turisticos
89,-34.588686540221744,-58.39542406456093,alojamientos_turisticos
93,-34.597161038157736,-58.391703785675816,alojamientos_turisticos
