id_celda,area_km2,delitos_ponderados,cant_estaciones_tren,densidad_delitos,densidad_estaciones_tren
1114,0.25,188.95,0.0,755.8,0.0
1115,0.25,204.25,0.0,817.0,0.0
1116,0.25,323.25,0.0,1293.0,0.0
1117,0.25,123.75,0.0,495.0,0.0
1118,0.25,178.75,0.0,715.0,0.0
1119,0.25,197.2,0.0,788.8,0.0
1120,0.25,239.65,0.0,958.6,0.0
1121,0.25,253.85,0.0,1015.4,0.0
1122,0.25,111.85,0.0,447.4,0.0
1123,0.25,223.9,0.0,895.6,0.0
1124,0.25,197.85,0.0,791.4,0.0
1125,0.25,223.7,0.0,894.8,0.0
1126,0.25,243.3,0.0,973.2,0.0
1127,0.25,128.95,0.0,515.8,0.0
1128,0.25,234.9,0.0,939.6,0.0
1129,0.25,272.55,0.0,1090.2,0.0
1130,0.25,185.05,0.0,740.2,0.0
1131,0.25,143.7,0.0,574.8,0.0
1132,0.25,147.2,0.0,588.8,0.0
1133,0.25,166.35,0.0,665.4,0.0
1134,0.25,162.05,0.0,648.2,0.0
1135,0.25,234.85,0.0,939.4,0.0
1136,0.25,57.65,0.0,230.6,0.0
1137,0.25,5.9,0.0,23.6,0.0
1161,0.25,4.65,0.0,18.6,0.0
1162,0.25,224.5,0.0,898.0,0.0
1163,0.25,233.65,0.0,934.6,0.0
1164,0.25,206.85,0.0,827.4,0.0
1165,0.25,322.1,0.0,1288.4,0.0
1166,0.25,151.9,0.0,607.6,0.0
1167,0.25,319.8,0.0,1279.2,0.0
1168,0.25,291.0,0.0,1164.0,0.0
1169,0.25,228.3,0.0,913.2,0.0
1170,0.25,214.05,0.0,856.2,0.0
1171,0.25,326.3,0.0,1305.2,0.0
1172,0.25,200.9,1.0,803.6,4.0
1173,0.25,188.2,0.0,752.8,0.0
1174,0.25,203.9,0.0,815.6,0.0
1175,0.25,224.95,0.0,899.8,0.0
1176,0.25,189.85,0.0,759.4,0.0
1177,0.25,247.8,0.0,991.2,0.0
1178,0.25,204.2,0.0,816.8,0.0
1179,0.25,173.6,0.0,694.4,0.0
1180,0.25,161.6,0.0,646.4,0.0
1181,0.25,206.2,0.0,824.8,0.0
1182,0.25,162.65,0.0,650.6,0.0
1183,0.25,185.15,0.0,740.6,0.0
1184,0.25,208.6,0.0,834.4,0.0
1185,0.25,295.6,0.0,1182.4,0.0
1186,0.25,189.65,0.0,758.6,0.0
1187,0.25,137.6,1.0,550.4,4.0
1188,0.25,178.0,0.0,712.0,0.0
1189,0.25,289.2,0.0,1156.8,0.0
1190,0.25,154.4,0.0,617.6,0.0
1191,0.25,65.8,0.0,263.2,0.0
1192,0.25,51.8,0.0,207.2,0.0
1193,0.25,47.05,0.0,188.2,0.0
1194,0.25,44.2,0.0,176.8,0.0
1195,0.25,0.15,0.0,0.6,0.0
1196,0.25,0.75,0.0,3.0,0.0
1201,0.25,0.15,0.0,0.6,0.0
1212,0.25,0.15,0.0,0.6,0.0
1216,0.25,72.9,0.0,291.6,0.0
1217,0.25,239.2,0.0,956.8,0.0
1218,0.25,157.3,0.0,629.2,0.0
1219,0.25,208.9,0.0,835.6,0.0
1220,0.25,91.3,0.0,365.2,0.0
1221,0.25,198.9,0.0,795.6,0.0
1222,0.25,184.0,0.0,736.0,0.0
1223,0.25,282.5,0.0,1130.0,0.0
1224,0.25,310.15,0.0,1240.6,0.0
1225,0.25,226.8,0.0,907.2,0.0
1226,0.25,328.95,0.0,1315.8,0.0
1227,0.25,220.8,0.0,883.2,0.0
1228,0.25,225.05,0.0,900.2,0.0
1229,0.25,170.3,0.0,681.2,0.0
1230,0.25,202.5,0.0,810.0,0.0
1231,0.25,256.75,0.0,1027.0,0.0
1232,0.25,216.95,0.0,867.8,0.0
1233,0.25,174.25,0.0,697.0,0.0
1234,0.25,129.9,0.0,519.6,0.0
1235,0.25,192.0,0.0,768.0,0.0
1236,0.25,182.25,0.0,729.0,0.0
1237,0.25,331.5,0.0,1326.0,0.0
1238,0.25,207.75,0.0,831.0,0.0
1239,0.25,190.2,0.0,760.8,0.0
1240,0.25,176.7,0.0,706.8,0.0
1241,0.25,232.45,0.0,929.8,0.0
1242,0.25,170.1,0.0,680.4,0.0
1243,0.25,229.95,0.0,919.8,0.0
1244,0.25,186.35,0.0,745.4,0.0
1245,0.25,179.65,0.0,718.6,0.0
1246,0.25,118.4,0.0,473.6,0.0
1247,0.25,5.85,0.0,23.4,0.0
1248,0.25,18.8,0.0,75.2,0.0
1249,0.25,120.55,0.0,482.2,0.0
1250,0.25,280.95,0.0,1123.8,0.0
1251,0.25,4.7,0.0,18.8,0.0
1264,0.25,2.0,0.0,8.0,0.0
1269,0.25,1.3,0.0,5.2,0.0
1270,0.25,245.8,0.0,983.2,0.0
1271,0.25,288.75,0.0,1155.0,0.0
1272,0.25,344.15,0.0,1376.6,0.0
1273,0.25,573.85,0.0,2295.4,0.0
1274,0.25,70.35,0.0,281.4,0.0
1275,0.25,76.65,0.0,306.6,0.0
1276,0.25,145.5,0.0,582.0,0.0
1277,0.25,213.65,0.0,854.6,0.0
1278,0.25,196.25,0.0,785.0,0.0
1279,0.25,289.8,0.0,1159.2,0.0
1280,0.25,246.05,0.0,984.2,0.0
1281,0.25,234.2,0.0,936.8,0.0
1282,0.25,257.2,0.0,1028.8,0.0
1283,0.25,182.85,0.0,731.4,0.0
1284,0.25,240.2,0.0,960.8,0.0
1285,0.25,223.1,0.0,892.4,0.0
1286,0.25,228.25,0.0,913.0,0.0
1287,0.25,173.45,0.0,693.8,0.0
1288,0.25,219.75,0.0,879.0,0.0
1289,0.25,126.05,0.0,504.2,0.0
1290,0.25,288.5,0.0,1154.0,0.0
1291,0.25,398.8,1.0,1595.2,4.0
1292,0.25,228.35,0.0,913.4,0.0
1293,0.25,173.0,0.0,692.0,0.0
1294,0.25,152.35,0.0,609.4,0.0
1295,0.25,165.55,0.0,662.2,0.0
1296,0.25,222.15,0.0,888.6,0.0
1297,0.25,294.85,0.0,1179.4,0.0
1298,0.25,223.45,0.0,893.8,0.0
1299,0.25,210.8,0.0,843.2,0.0
1300,0.25,215.1,0.0,860.4,0.0
1301,0.25,182.75,0.0,731.0,0.0
1302,0.25,74.3,0.0,297.2,0.0
1303,0.25,79.35,0.0,317.4,0.0
1304,0.25,259.1,0.0,1036.4,0.0
1305,0.25,169.0,0.0,676.0,0.0
1306,0.25,103.55,0.0,414.2,0.0
1323,0.25,0.3,0.0,1.2,0.0
1324,0.25,214.8,0.0,859.2,0.0
1325,0.25,527.8,0.0,2111.2,0.0
1326,0.25,339.5,0.0,1358.0,0.0
1327,0.25,987.0,0.0,3948.0,0.0
1328,0.25,352.25,0.0,1409.0,0.0
1329,0.25,266.5,0.0,1066.0,0.0
1330,0.25,161.95,0.0,647.8,0.0
1331,0.25,196.45,0.0,785.8,0.0
1332,0.25,209.7,0.0,838.8,0.0
1333,0.25,253.5,0.0,1014.0,0.0
1334,0.25,192.85,0.0,771.4,0.0
1335,0.25,261.1,0.0,1044.4,0.0
1336,0.25,176.9,0.0,707.6,0.0
1337,0.25,342.05,0.0,1368.2,0.0
1338,0.25,193.05,0.0,772.2,0.0
1339,0.25,344.1,0.0,1376.4,0.0
1340,0.25,244.35,0.0,977.4,0.0
1341,0.25,154.5,0.0,618.0,0.0
1342,0.25,211.35,0.0,845.4,0.0
1343,0.25,186.2,0.0,744.8,0.0
1344,0.25,234.7,0.0,938.8,0.0
1345,0.25,217.4,0.0,869.6,0.0
1346,0.25,282.3,0.0,1129.2,0.0
1347,0.25,292.9,0.0,1171.6,0.0
1348,0.25,15.8,0.0,63.2,0.0
1349,0.25,97.55,0.0,390.2,0.0
1350,0.25,152.85,0.0,611.4,0.0
1351,0.25,227.9,0.0,911.6,0.0
1352,0.25,211.5,0.0,846.0,0.0
1353,0.25,307.95,1.0,1231.8,4.0
1354,0.25,306.1,0.0,1224.4,0.0
1355,0.25,301.5,0.0,1206.0,0.0
1356,0.25,179.3,0.0,717.2,0.0
1357,0.25,154.7,0.0,618.8,0.0
1358,0.25,185.1,0.0,740.4,0.0
1359,0.25,242.3,0.0,969.2,0.0
1360,0.25,213.7,0.0,854.8,0.0
1361,0.25,197.95,0.0,791.8,0.0
1362,0.25,6.9,0.0,27.6,0.0
1376,0.25,0.3,0.0,1.2,0.0
1378,0.25,41.1,0.0,164.4,0.0
1379,0.25,279.55,0.0,1118.2,0.0
1380,0.25,193.8,0.0,775.2,0.0
1381,0.25,135.65,0.0,542.6,0.0
1382,0.25,325.35,0.0,1301.4,0.0
1383,0.25,236.05,0.0,944.2,0.0
1384,0.25,177.1,0.0,708.4,0.0
1385,0.25,235.15,0.0,940.6,0.0
1386,0.25,166.6,0.0,666.4,0.0
1387,0.25,185.25,0.0,741.0,0.0
1388,0.25,211.4,0.0,845.6,0.0
1389,0.25,256.3,0.0,1025.2,0.0
1390,0.25,232.2,0.0,928.8,0.0
1391,0.25,326.25,0.0,1305.0,0.0
1392,0.25,488.6,0.0,1954.4,0.0
1393,0.25,354.35,0.0,1417.4,0.0
1394,0.25,340.65,0.0,1362.6,0.0
1395,0.25,307.95,0.0,1231.8,0.0
1396,0.25,179.85,0.0,719.4,0.0
1397,0.25,188.1,0.0,752.4,0.0
1398,0.25,195.2,0.0,780.8,0.0
1399,0.25,279.35,0.0,1117.4,0.0
1400,0.25,223.4,0.0,893.6,0.0
1401,0.25,163.95,0.0,655.8,0.0
1402,0.25,254.35,0.0,1017.4,0.0
1403,0.25,45.6,0.0,182.4,0.0
1404,0.25,42.75,0.0,171.0,0.0
1405,0.25,198.95,0.0,795.8,0.0
1406,0.25,120.05,0.0,480.2,0.0
1407,0.25,183.85,0.0,735.4,0.0
1408,0.25,480.8,0.0,1923.2,0.0
1409,0.25,569.95,0.0,2279.8,0.0
1410,0.25,332.95,0.0,1331.8,0.0
1411,0.25,211.0,0.0,844.0,0.0
1412,0.25,159.4,0.0,637.6,0.0
1413,0.25,163.95,0.0,655.8,0.0
1414,0.25,307.0,1.0,1228.0,4.0
1415,0.25,278.45,0.0,1113.8,0.0
1416,0.25,356.5,0.0,1426.0,0.0
1417,0.25,87.75,0.0,351.0,0.0
1421,0.25,0.15,0.0,0.6,0.0
1432,0.25,89.55,0.0,358.2,0.0
1433,0.25,263.75,0.0,1055.0,0.0
1434,0.25,221.35,0.0,885.4,0.0
1435,0.25,135.05,0.0,540.2,0.0
1436,0.25,121.95,0.0,487.8,0.0
1437,0.25,200.35,0.0,801.4,0.0
1438,0.25,196.85,0.0,787.4,0.0
1439,0.25,219.8,0.0,879.2,0.0
1440,0.25,217.95,0.0,871.8,0.0
1441,0.25,230.65,0.0,922.6,0.0
1442,0.25,207.75,0.0,831.0,0.0
1443,0.25,154.1,0.0,616.4,0.0
1444,0.25,75.7,0.0,302.8,0.0
1445,0.25,294.2,0.0,1176.8,0.0
1446,0.25,365.3,0.0,1461.2,0.0
1447,0.25,381.35,0.0,1525.4,0.0
1448,0.25,539.8,1.0,2159.2,4.0
1449,0.25,434.25,0.0,1737.0,0.0
1450,0.25,304.35,0.0,1217.4,0.0
1451,0.25,221.85,0.0,887.4,0.0
1452,0.25,232.45,0.0,929.8,0.0
1453,0.25,414.75,0.0,1659.0,0.0
1454,0.25,370.7,0.0,1482.8,0.0
1455,0.25,241.05,0.0,964.2,0.0
1456,0.25,190.1,0.0,760.4,0.0
1457,0.25,172.45,0.0,689.8,0.0
1458,0.25,3.05,0.0,12.2,0.0
1459,0.25,66.4,0.0,265.6,0.0
1460,0.25,164.05,0.0,656.2,0.0
1461,0.25,141.5,0.0,566.0,0.0
1462,0.25,289.35,0.0,1157.4,0.0
1463,0.25,292.65,0.0,1170.6,0.0
1464,0.25,354.45,0.0,1417.8,0.0
1465,0.25,245.25,1.0,981.0,4.0
1466,0.25,288.4,0.0,1153.6,0.0
1467,0.25,138.1,0.0,552.4,0.0
1468,0.25,192.65,0.0,770.6,0.0
1469,0.25,216.7,0.0,866.8,0.0
1470,0.25,123.05,0.0,492.2,0.0
1471,0.25,191.9,0.0,767.6,0.0
1472,0.25,193.2,0.0,772.8,0.0
1473,0.25,8.2,0.0,32.8,0.0
1486,0.25,59.85,0.0,239.4,0.0
1487,0.25,198.6,0.0,794.4,0.0
1488,0.25,266.05,0.0,1064.2,0.0
1489,0.25,157.0,0.0,628.0,0.0
1490,0.25,214.65,0.0,858.6,0.0
1491,0.25,373.05,1.0,1492.2,4.0
1492,0.25,202.85,0.0,811.4,0.0
1493,0.25,255.0,0.0,1020.0,0.0
1494,0.25,391.45,0.0,1565.8,0.0
1495,0.25,372.45,0.0,1489.8,0.0
1496,0.25,525.15,0.0,2100.6,0.0
1497,0.25,308.55,0.0,1234.2,0.0
1498,0.25,121.9,0.0,487.6,0.0
1499,0.25,66.6,0.0,266.4,0.0
1500,0.25,261.15,0.0,1044.6,0.0
1501,0.25,317.35,0.0,1269.4,0.0
1502,0.25,409.15,0.0,1636.6,0.0
1503,0.25,676.25,0.0,2705.0,0.0
1504,0.25,580.0,0.0,2320.0,0.0
1505,0.25,271.05,0.0,1084.2,0.0
1506,0.25,274.0,0.0,1096.0,0.0
1507,0.25,411.4,0.0,1645.6,0.0
1508,0.25,250.85,0.0,1003.4,0.0
1509,0.25,239.9,0.0,959.6,0.0
1510,0.25,238.4,0.0,953.6,0.0
1511,0.25,247.85,0.0,991.4,0.0
1512,0.25,156.9,0.0,627.6,0.0
1513,0.25,41.2,0.0,164.8,0.0
1514,0.25,114.4,0.0,457.6,0.0
1515,0.25,156.8,0.0,627.2,0.0
1516,0.25,228.8,0.0,915.2,0.0
1517,0.25,294.9,0.0,1179.6,0.0
1518,0.25,218.75,0.0,875.0,0.0
1519,0.25,252.0,0.0,1008.0,0.0
1520,0.25,250.7,0.0,1002.8,0.0
1521,0.25,179.25,1.0,717.0,4.0
1522,0.25,173.45,0.0,693.8,0.0
1523,0.25,213.6,0.0,854.4,0.0
1524,0.25,183.45,0.0,733.8,0.0
1525,0.25,189.55,0.0,758.2,0.0
1526,0.25,212.9,0.0,851.6,0.0
1527,0.25,265.05,0.0,1060.2,0.0
1528,0.25,527.7,0.0,2110.8,0.0
1529,0.25,0.5,0.0,2.0,0.0
1532,0.25,0.15,0.0,0.6,0.0
1533,0.25,0.15,0.0,0.6,0.0
1540,0.25,100.75,0.0,403.0,0.0
1541,0.25,142.25,0.0,569.0,0.0
1542,0.25,184.5,0.0,738.0,0.0
