id_celda,area_km2,delitos_ponderados,cant_paradas,densidad_delitos,densidad_paradas
3644,0.0625,72.0,0.0,1152.0,0.0
3645,0.0625,40.1,1.0,641.6,16.0
3646,0.0625,44.7,1.0,715.2,16.0
3647,0.0625,13.75,1.0,220.0,16.0
3648,0.0625,34.3,3.0,548.8,48.0
3649,0.0625,87.6,2.0,1401.6,32.0
3650,0.0625,10.3,0.0,164.8,0.0
3651,0.0625,0.5,0.0,8.0,0.0
3656,0.0625,0.3,0.0,4.8,0.0
3663,0.0625,0.3,0.0,4.8,0.0
3727,0.0625,1.5,0.0,24.0,0.0
3728,0.0625,28.15,0.0,450.4,0.0
3729,0.0625,34.2,0.0,547.2,0.0
3730,0.0625,80.65,3.0,1290.4,48.0
3731,0.0625,41.85,0.0,669.6,0.0
3732,0.0625,33.95,1.0,543.2,16.0
3733,0.0625,38.85,0.0,621.6,0.0
3734,0.0625,29.25,0.0,468.0,0.0
3735,0.0625,34.85,2.0,557.6,32.0
3736,0.0625,44.9,1.0,718.4,16.0
3737,0.0625,104.35,0.0,1669.6,0.0
3738,0.0625,139.75,0.0,2236.0,0.0
3739,0.0625,92.2,3.0,1475.2,48.0
3740,0.0625,54.55,0.0,872.8,0.0
3741,0.0625,61.15,6.0,978.4,96.0
3742,0.0625,46.1,1.0,737.6,16.0
3743,0.0625,33.95,0.0,543.2,0.0
3744,0.0625,40.5,1.0,648.0,16.0
3745,0.0625,60.2,1.0,963.2,16.0
3746,0.0625,74.15,1.0,1186.4,16.0
3747,0.0625,54.55,5.0,872.8,80.0
3748,0.0625,51.7,0.0,827.2,0.0
3749,0.0625,46.65,0.0,746.4,0.0
3750,0.0625,52.65,1.0,842.4,16.0
3751,0.0625,98.3,0.0,1572.8,0.0
3752,0.0625,37.5,2.0,600.0,32.0
3753,0.0625,116.65,8.0,1866.4,128.0
3754,0.0625,31.4,0.0,502.4,0.0
3755,0.0625,33.65,1.0,538.4,16.0
3756,0.0625,39.25,4.0,628.0,64.0
3757,0.0625,30.25,0.0,484.0,0.0
3758,0.0625,31.75,0.0,508.0,0.0
3759,0.0625,26.6,1.0,425.6,16.0
3760,0.0625,40.95,2.0,655.2,32.0
3761,0.0625,39.15,0.0,626.4,0.0
3762,0.0625,0.44999999999999996,0.0,7.199999999999999,0.0
3763,0.0625,1.0,0.0,16.0,0.0
3779,0.0625,0.15,0.0,2.4,0.0
3835,0.0625,3.2,0.0,51.2,0.0
3836,0.0625,12.3,1.0,196.8,16.0
3837,0.0625,32.7,0.0,523.2,0.0
3838,0.0625,44.35,0.0,709.6,0.0
3839,0.0625,59.25,1.0,948.0,16.0
3840,0.0625,47.15,4.0,754.4,64.0
3841,0.0625,31.05,0.0,496.8,0.0
3842,0.0625,49.95,0.0,799.2,0.0
3843,0.0625,28.25,1.0,452.0,16.0
3844,0.0625,43.95,2.0,703.2,32.0
3845,0.0625,60.45,2.0,967.2,32.0
3846,0.0625,71.35,0.0,1141.6,0.0
3847,0.0625,136.45,6.0,2183.2,96.0
3848,0.0625,67.4,6.0,1078.4,96.0
3849,0.0625,3.6,0.0,57.6,0.0
3850,0.0625,400.15,1.0,6402.4,16.0
3851,0.0625,100.6,3.0,1609.6,48.0
3852,0.0625,51.5,0.0,824.0,0.0
3853,0.0625,26.4,1.0,422.4,16.0
3854,0.0625,50.15,0.0,802.4,0.0
3855,0.0625,55.85,1.0,893.6,16.0
3856,0.0625,53.25,0.0,852.0,0.0
3857,0.0625,45.9,1.0,734.4,16.0
3858,0.0625,54.1,0.0,865.6,0.0
3859,0.0625,81.3,3.0,1300.8,48.0
3860,0.0625,44.45,0.0,711.2,0.0
3861,0.0625,60.3,2.0,964.8,32.0
3862,0.0625,45.25,0.0,724.0,0.0
3863,0.0625,105.65,3.0,1690.4,48.0
3864,0.0625,35.3,2.0,564.8,32.0
3865,0.0625,42.65,1.0,682.4,16.0
3866,0.0625,22.95,2.0,367.2,32.0
3867,0.0625,24.45,1.0,391.2,16.0
3868,0.0625,28.05,1.0,448.8,16.0
3869,0.0625,35.85,0.0,573.6,0.0
3870,0.0625,24.95,0.0,399.2,0.0
