feature,shap_importance_mean_abs,shap_mean
promedio_historico_grid,0.3914726826479369,0.06215408232581984
dist_min_colectivos_m,0.28358925444805166,0.07270315979923862
delitos_historicos_franja,0.2674553062910988,0.02397834480765163
promedio_6_meses_franja,0.2660275452185586,0.03173501697542438
delitos_historicos_grid,0.21497536851383214,-0.038939011737460054
promedio_historico_mes_calendario_grid,0.1403812189026813,0.017694258374119576
mes_num,0.1265477404580673,9.287090850250426e-05
dist_min_gastronomia_m,0.10652362010378602,0.009958523219323683
promedio_6_meses_grid,0.1020881195578659,0.035709574029102624
porcentaje_en_caba,0.08659254171197092,-0.014356507324440245
area_interseccion_caba_m2,0.08659254171186831,-0.014356507324423192
promedio_3_meses_grid,0.0720768718197669,0.023680742723594116
dist_min_cajeros_m,0.05297656194011693,0.0038491006227669043
promedio_3_meses_franja,0.05180247997707542,0.010657574977244497
semestre,0.04823733608618235,7.910923118133901e-05
anio,0.0475712940750998,-0.003717734636926141
dist_min_comisarias_m,0.044621473360983877,0.0068945308404913435
cant_alojamientos,0.04255456468867443,0.0005798834761713004
dist_min_alojamientos_m,0.04185389392012146,-0.010909436743234137
promedio_historico_franja,0.038356670965390145,-0.00179431895919961
trimestre,0.036441350558303755,-0.0003062532996035702
delitos_mes_anterior_franja,0.02472142365425945,0.006813293504985704
cant_cajeros,0.02449015230531089,0.001542205914364166
promedio_historico_mes_calendario_franja,0.02379423861518152,-0.0005823129223590007
cant_colectivos,0.019585801467742643,0.0023649706939331675
delitos_mes_anterior_grid,0.014543684431734077,0.00287319489825706
cant_gastronomia,0.011516189988754229,-0.002839134123925188
promedio_historico_trimestre_franja,0.00649100782144991,-0.00046879931988515254
dist_min_estaciones_tren_m,0.002423529258509515,-0.0005138155321198695
cant_comisarias,0.0020240791155179067,-0.0003384747684812562
hotspot_mes_anterior_franja,0.0015149053146247626,-0.00013088687797456898
cant_estaciones_tren,0.0010877902708805115,0.0010877902708805098
hotspot_mes_anterior_grid,0.0010480767193898621,0.0005457841546259338
promedio_historico_trimestre_grid,0.00014309083292793684,-2.5767272093922147e-05
area_celda_m2,0.0,0.0
